Noise Level,Repetition,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,0,1.85544e-05,0.596642,0.403358,0.632476,0.367524
0.01,0,1.87893e-05,0.607957,0.392043,0.649018,0.350982
0.01,0,1.90241e-05,0.643098,0.356902,0.701583,0.298417
0.01,0,1.9259e-05,0.681205,0.318795,0.733903,0.266097
0.01,0,1.94939e-05,0.695177,0.304823,0.739157,0.260843
0.01,0,1.97287e-05,0.726637,0.273363,0.782791,0.217209
0.01,0,1.99636e-05,0.759198,0.240802,0.810018,0.189982
0.01,0,2.01985e-05,0.785784,0.214216,0.829621,0.170379
0.01,0,2.04333e-05,0.812023,0.187977,0.853192,0.146808
0.01,0,2.06682e-05,0.835004,0.164996,0.873065,0.126935
0.01,0,2.09031e-05,0.861656,0.138344,0.897491,0.102509
0.01,0,2.11379e-05,0.895532,0.104468,0.924016,0.0759838
0.01,0,2.13728e-05,0.908194,0.0918063,0.924481,0.075519
0.01,0,2.16077e-05,0.918397,0.0816028,0.938783,0.0612166
0.01,0,2.18425e-05,0.93472,0.0652799,0.958221,0.0417786
0.01,0,2.20774e-05,0.946199,0.0538009,0.967419,0.032581
0.01,0,2.23123e-05,0.950449,0.049551,0.973388,0.0266123
0.01,0,2.25471e-05,0.96153,0.0384704,0.986819,0.0131813
0.01,0,2.2782e-05,0.970324,0.0296762,0.992553,0.00744732
0.01,0,2.30169e-05,0.977442,0.0225578,0.996833,0.00316712
0.01,0,2.32517e-05,0.984956,0.0150441,0.999684,0.00031612
0.01,0,2.34866e-05,0.9906,0.00940025,0.999711,0.000289138
0.01,0,2.37215e-05,0.993776,0.00622435,0.997534,0.00246611
0.01,0,2.39563e-05,0.993163,0.00683745,0.991329,0.00867079
0.01,0,2.41912e-05,0.994534,0.00546587,0.990035,0.00996497
0.01,0,2.44261e-05,0.990248,0.0097522,0.975959,0.024041
0.01,0,2.46609e-05,0.988823,0.0111774,0.973384,0.0266162
0.01,0,2.48958e-05,0.982615,0.0173852,0.955968,0.0440325
0.01,0,2.51307e-05,0.978555,0.0214453,0.948363,0.0516369
0.01,0,2.53655e-05,0.97245,0.0275501,0.932084,0.0679162
0.01,0,2.56004e-05,0.958625,0.0413746,0.905091,0.0949089
0.01,0,2.58353e-05,0.946069,0.0539309,0.891687,0.108313
0.01,0,2.60701e-05,0.926359,0.0736412,0.864163,0.135837
0.01,0,2.6305e-05,0.908697,0.0913028,0.848125,0.151875
0.01,0,2.65399e-05,0.888335,0.111665,0.823828,0.176172
0.01,0,2.67747e-05,0.874689,0.125311,0.809235,0.190765
0.01,0,2.70096e-05,0.863686,0.136314,0.787939,0.212061
0.01,0,2.72445e-05,0.829656,0.170344,0.734887,0.265113
0.01,0,2.74793e-05,0.798666,0.201334,0.713475,0.286525
0.01,0,2.77142e-05,0.771764,0.228236,0.691135,0.308865
0.01,0,2.7949e-05,0.734772,0.265228,0.652127,0.347873
0.01,0,2.81839e-05,0.707715,0.292285,0.634283,0.365717
0.01,0,2.84188e-05,0.673231,0.326769,0.596686,0.403314
0.01,0,2.86536e-05,0.639592,0.360408,0.567718,0.432282
0.01,0,2.88885e-05,0.606413,0.393587,0.537721,0.462279
0.01,0,2.91234e-05,0.57854,0.42146,0.512288,0.487712
0.01,0,2.93582e-05,0.552275,0.447725,0.482598,0.517402
0.01,0,2.95931e-05,0.521204,0.478796,0.446671,0.553329
0.01,0,2.9828e-05,0.485096,0.514904,0.410546,0.589454
0.01,0,3.00628e-05,0.44555,0.55445,0.376507,0.623493
0.01,0,3.02977e-05,0.406739,0.593261,0.346373,0.653627
0.01,0,3.05326e-05,0.367024,0.632976,0.315165,0.684835
0.01,0,3.07674e-05,0.327822,0.672178,0.28618,0.71382
0.01,0,3.10023e-05,0.305351,0.694649,0.273378,0.726622
0.01,0,3.12372e-05,0.265646,0.734354,0.228632,0.771368
0.01,0,3.1472e-05,0.233634,0.766366,0.208324,0.791676
0.01,0,3.17069e-05,0.212032,0.787968,0.192292,0.807708
0.01,0,3.19418e-05,0.196993,0.803007,0.173666,0.826334
0.01,0,3.21766e-05,0.166157,0.833843,0.135539,0.864461
0.01,0,3.24115e-05,0.153568,0.846432,0.129751,0.870249
0.01,0,3.26464e-05,0.131867,0.868133,0.100638,0.899362
0.01,0,3.28812e-05,0.112984,0.887016,0.0836924,0.916308
0.01,0,3.31161e-05,0.0958891,0.904111,0.0676405,0.932359
0.01,0,3.3351e-05,0.0830513,0.916949,0.0552293,0.944771
0.01,0,3.35858e-05,0.0691911,0.930809,0.0401194,0.959881
0.01,0,3.38207e-05,0.0484606,0.951539,0.0228789,0.977121
0.01,0,3.40556e-05,0.0392282,0.960772,0.0198356,0.980164
0.01,0,3.42904e-05,0.0358675,0.964132,0.0147992,0.985201
0.01,0,3.45253e-05,0.0262825,0.973718,0.00481798,0.995182
0.01,0,3.47602e-05,0.0206903,0.97931,0.00209382,0.997906
0.01,0,3.4995e-05,0.0151255,0.984874,8.40191e-05,0.999916
0.01,0,3.52299e-05,0.0118968,0.988103,0.000470394,0.99953
0.01,0,3.54648e-05,0.0119255,0.988075,0.00329174,0.996708
0.01,0,3.56996e-05,0.0146946,0.985305,0.00843424,0.991566
0.01,0,3.59345e-05,0.0179573,0.982043,0.0132835,0.986716
0.01,0,3.61694e-05,0.0213603,0.97864,0.0198116,0.980188
0.01,0,3.64042e-05,0.0249961,0.975004,0.0285766,0.971423
0.01,0,3.66391e-05,0.0369664,0.963034,0.0480426,0.951957
0.01,0,3.6874e-05,0.0427589,0.957241,0.0519092,0.948091
0.01,0,3.71088e-05,0.0524702,0.94753,0.0700949,0.929905
0.01,0,3.73437e-05,0.0600404,0.93996,0.0829887,0.917011
0.01,0,3.75786e-05,0.0696038,0.930396,0.102546,0.897454
0.01,0,3.78134e-05,0.083131,0.916869,0.126287,0.873713
0.01,0,3.80483e-05,0.100992,0.899008,0.151572,0.848428
0.01,0,3.82832e-05,0.118966,0.881034,0.172971,0.827029
0.01,0,3.8518e-05,0.135608,0.864392,0.194329,0.805671
0.01,0,3.87529e-05,0.15749,0.84251,0.224676,0.775324
0.01,0,3.89877e-05,0.178953,0.821047,0.249069,0.750931
0.01,0,3.92226e-05,0.207701,0.792299,0.283367,0.716633
0.01,0,3.94575e-05,0.241691,0.758309,0.315793,0.684207
0.01,0,3.96923e-05,0.261247,0.738753,0.327838,0.672162
0.01,0,3.99272e-05,0.284498,0.715502,0.360961,0.639039
0.01,0,4.01621e-05,0.320715,0.679285,0.404424,0.595576
0.01,0,4.03969e-05,0.345099,0.654901,0.421937,0.578063
0.01,0,4.06318e-05,0.362408,0.637592,0.445386,0.554614
0.01,0,4.08667e-05,0.398049,0.601951,0.495302,0.504698
0.01,0,4.11015e-05,0.43644,0.56356,0.528914,0.471086
0.01,0,4.13364e-05,0.474056,0.525944,0.558997,0.441003
0.01,0,4.15713e-05,0.494999,0.505001,0.573367,0.426633
0.01,0,4.18061e-05,0.530012,0.469988,0.617985,0.382015
0.01,0,4.2041e-05,0.555595,0.444405,0.639262,0.360738
0.01,0,4.22759e-05,0.587515,0.412485,0.675346,0.324654
