Time theta phi abs_alpha2 abs_beta2
2.44261e-05 0.0761109 0.667979 0.998552 0.00144752
2.46609e-05 0.0557273 -2.95377 0.999224 0.000776183
2.48958e-05 0.0519148 3.07913 0.999326 0.000673634
2.51307e-05 0.0574869 2.90106 0.999174 0.00082596
2.53655e-05 0.115017 -0.654418 0.996696 0.00330358
2.56004e-05 0.00211054 -0.919921 0.999999 1.1136e-06
2.58353e-05 0.0638543 2.08575 0.998981 0.001019
2.60701e-05 0.0766465 -1.68014 0.998532 0.00146795
2.6305e-05 0.0970526 -2.16619 0.997647 0.00235295
2.65399e-05 0.01822 0.867477 0.999917 8.29895e-05
2.67747e-05 0.0155104 0.500596 0.99994 6.01422e-05
2.70096e-05 0.04854 0.0397211 0.999411 0.000588917
2.72445e-05 0.0375075 2.80478 0.999648 0.000351663
2.74793e-05 0.0116024 -0.588923 0.999966 3.36533e-05
2.77142e-05 0.060362 1.92057 0.999089 0.000910615
2.7949e-05 0.0413481 1.40166 0.999573 0.000427355
2.81839e-05 0.0506741 1.01081 0.999358 0.000641828
2.84188e-05 0.00474126 0.781307 0.999994 5.61986e-06
2.86536e-05 0.0564441 0.497106 0.999204 0.000796271
2.88885e-05 0.0904654 0.0668544 0.997955 0.0020446
2.91234e-05 0.0177439 -0.495275 0.999921 7.87098e-05
2.93582e-05 0.00789011 -0.814225 0.999984 1.55634e-05
2.95931e-05 0.155114 -1.19538 0.993997 0.00600308
2.9828e-05 0.0367469 -1.38495 0.999662 0.000337546
3.00628e-05 0.0416592 1.56176 0.999566 0.00043381
3.02977e-05 0.0406929 1.02999 0.999586 0.000413922
3.05326e-05 0.118421 0.380253 0.996498 0.00350176
3.07674e-05 0.048545 -0.099323 0.999411 0.000589039
3.10023e-05 0.201108 -0.508393 0.989923 0.0100771
3.12372e-05 0.00418053 -0.823181 0.999996 4.3692e-06
3.1472e-05 0.111835 -1.28443 0.996876 0.00312353
3.17069e-05 0.0884149 1.46642 0.998047 0.00195303
3.19418e-05 0.0564042 -2.08329 0.999205 0.000795147
3.21766e-05 0.0246347 -2.42083 0.999848 0.000151709
3.24115e-05 0.0520197 -2.5559 0.999324 0.00067636
3.26464e-05 0.0450649 -2.91352 0.999492 0.000507626
3.28812e-05 0.0158737 -0.247916 0.999937 6.29923e-05
3.31161e-05 0.0224362 -0.987996 0.999874 0.00012584
3.3351e-05 0.0424969 1.89965 0.999549 0.000451428
3.35858e-05 0.0578296 1.75604 0.999164 0.000835834
3.38207e-05 0.0499095 -1.64062 0.999377 0.000622611
3.40556e-05 0.00733541 -2.11755 0.999987 1.3452e-05
3.42904e-05 0.0747015 0.752221 0.998606 0.00139443
3.45253e-05 0.103476 -2.78873 0.997326 0.00267442
