Time abs_alpha2 abs_beta2
4.06318e-05 0.434153 0.563365
4.08667e-05 0.465315 0.532189
4.11015e-05 0.496608 0.500882
4.13364e-05 0.527908 0.469567
4.15713e-05 0.559093 0.438368
4.18061e-05 0.590039 0.407408
4.2041e-05 0.620623 0.376809
4.22759e-05 0.650727 0.346691
4.25107e-05 0.680229 0.317174
4.27456e-05 0.709015 0.288374
4.29805e-05 0.736971 0.260403
4.32153e-05 0.763987 0.233374
4.34502e-05 0.789955 0.207391
4.36851e-05 0.814774 0.182557
4.39199e-05 0.838346 0.158971
4.41548e-05 0.860578 0.136725
4.43897e-05 0.881381 0.115907
4.46245e-05 0.900675 0.0965991
4.48594e-05 0.918383 0.0788769
4.50943e-05 0.934435 0.0628104
4.53291e-05 0.948768 0.048463
4.5564e-05 0.961326 0.0358912
4.57989e-05 0.972058 0.0251444
4.60337e-05 0.980924 0.0162649
4.62686e-05 0.987886 0.0092877
4.65035e-05 0.99292 0.00424022
4.67383e-05 0.996003 0.00114227
4.69732e-05 0.997125 5.97847e-06
4.72081e-05 0.996281 0.000835745
4.74429e-05 0.993474 0.00362821
4.76778e-05 0.988716 0.00837228
4.79127e-05 0.982025 0.0150492
4.81475e-05 0.973427 0.0236324
4.83824e-05 0.962957 0.0340882
4.86173e-05 0.950656 0.0463751
4.88521e-05 0.936572 0.0604446
4.9087e-05 0.920761 0.0762412
4.93218e-05 0.903285 0.0937025
4.95567e-05 0.884214 0.11276
4.97916e-05 0.863622 0.133337
5.00264e-05 0.841591 0.155354
5.02613e-05 0.818207 0.178723
5.04962e-05 0.793564 0.203353
5.0731e-05 0.767757 0.229145
5.09659e-05 0.740889 0.255999
5.12008e-05 0.713065 0.283808
5.14356e-05 0.684396 0.312463
5.16705e-05 0.654995 0.34185
5.19054e-05 0.624977 0.371854
5.21402e-05 0.594461 0.402356
5.23751e-05 0.563566 0.433235
5.261e-05 0.532416 0.464371
5.28448e-05 0.501133 0.495641
5.30797e-05 0.469839 0.52692
5.33146e-05 0.438659 0.558085
5.35494e-05 0.407716 0.589015
5.37843e-05 0.37713 0.619586
5.40192e-05 0.347024 0.649678
5.4254e-05 0.317515 0.679172
5.44889e-05 0.28872 0.707953
5.47238e-05 0.260753 0.735906
5.49586e-05 0.233723 0.762921
5.51935e-05 0.207738 0.788892
5.54284e-05 0.182899 0.813717
5.56632e-05 0.159305 0.837297
5.58981e-05 0.137048 0.859539
5.6133e-05 0.116216 0.880357
5.63678e-05 0.0968915 0.899667
5.66027e-05 0.0791504 0.917394
5.68376e-05 0.0630626 0.933467
5.70724e-05 0.0486914 0.947824
5.73073e-05 0.0360935 0.960408
5.75422e-05 0.0253185 0.971168
5.7777e-05 0.0164086 0.980064
5.80119e-05 0.00939912 0.987059
5.82468e-05 0.00431746 0.992126
5.84816e-05 0.00118362 0.995246
5.87165e-05 9.86525e-06 0.996405
5.89514e-05 0.000800746 0.9956
5.91862e-05 0.00355306 0.992834
5.94211e-05 0.00825586 0.988116
5.9656e-05 0.0148905 0.981467
5.98908e-05 0.0234308 0.972913
6.01257e-05 0.0338429 0.962486
6.03605e-05 0.0460858 0.950229
6.05954e-05 0.060111 0.93619
6.08303e-05 0.0758632 0.920423
6.10651e-05 0.0932801 0.902992
6.13e-05 0.112293 0.883965
6.15349e-05 0.132827 0.863416
6.17697e-05 0.154801 0.841428
6.20046e-05 0.178128 0.818087
6.22395e-05 0.202716 0.793484
6.24743e-05 0.228468 0.767718
6.27092e-05 0.255283 0.740889
6.29441e-05 0.283055 0.713103
