Temps theta phi abs_alpha2 abs_beta2
3.67709e-08 0.114218 -1.83509 0.996742 0.00325787
3.71279e-08 0.0324273 1.6145 0.999737 0.000262859
3.74849e-08 0.0508457 2.03653 0.999354 0.000646182
3.78419e-08 0.129054 -1.01495 0.995842 0.00415799
3.81989e-08 0.0253216 -0.55143 0.99984 0.000160287
3.85559e-08 0.0323447 0.0412497 0.999738 0.000261522
3.89129e-08 0.0504235 0.335514 0.999365 0.000635497
3.92699e-08 0.0107793 0.670637 0.999971 2.90481e-05
3.96269e-08 0.0492361 -2.029 0.999394 0.000605925
3.99839e-08 0.0822651 -1.56432 0.998309 0.00169093
4.03409e-08 0.0575936 2.15843 0.999171 0.000829026
4.06979e-08 0.0869207 2.4137 0.998112 0.00188761
4.10549e-08 0.00328495 -0.162978 0.999997 2.69773e-06
4.14119e-08 0.0640958 0.085742 0.998973 0.00102672
4.17689e-08 0.121599 0.538985 0.996308 0.00369205
4.21259e-08 0.108417 -2.35705 0.997064 0.00293566
4.24829e-08 0.0490409 -1.88982 0.999399 0.000601131
4.28399e-08 0.0335198 1.58838 0.999719 0.000280867
4.31969e-08 0.0347695 1.71688 0.999698 0.000302198
4.35539e-08 0.0403233 -0.967853 0.999594 0.000406437
4.39109e-08 0.0287519 -0.605073 0.999793 0.000206654
4.42679e-08 0.0948757 -0.234836 0.997751 0.00224866
4.46249e-08 0.0150044 0.0392267 0.999944 5.62823e-05
4.49819e-08 0.0371218 0.584316 0.999656 0.000344468
4.53389e-08 0.116613 0.981419 0.996604 0.0033958
4.56959e-08 0.0275973 1.25408 0.99981 0.00019039
4.60529e-08 0.0231811 1.6478 0.999866 0.000134334
4.64099e-08 0.0996136 1.8619 0.997521 0.00247866
4.67669e-08 0.0309085 -1.17237 0.999761 0.000238815
4.71239e-08 0.115551 -0.886747 0.996666 0.00333431
4.74809e-08 0.0445855 -0.750969 0.999503 0.000496884
4.78379e-08 0.00727344 -0.484191 0.999987 1.32257e-05
4.81949e-08 0.0350467 2.8341 0.999693 0.000307036
4.85519e-08 0.187008 -3.03034 0.991282 0.00871753
4.89089e-08 0.0582814 0.60732 0.999151 0.000848939
4.92659e-08 0.0194241 -2.1262 0.999906 9.43211e-05
4.96229e-08 0.000926449 1.12757 1 2.14577e-07
4.99799e-08 0.0655689 1.45843 0.998926 0.00107444
5.03369e-08 0.0305847 1.90322 0.999766 0.000233837
5.06939e-08 0.0172516 2.27697 0.999926 7.44025e-05
5.10509e-08 0.0620311 -0.593913 0.999038 0.000961655
5.14079e-08 0.0636172 3.03409 0.998989 0.00101145
5.17649e-08 0.00415218 0.384996 0.999996 4.31014e-06
5.21219e-08 0.0538153 0.751324 0.999276 0.000723847
5.24789e-08 0.0913564 -1.95675 0.997915 0.00208505
5.28359e-08 0.171371 -1.74164 0.992676 0.00732404
5.31929e-08 0.04372 1.78511 0.999522 0.000477783
5.35499e-08 0.0217393 2.30728 0.999882 0.000118145
5.39069e-08 0.0583873 -0.50052 0.999148 0.000852026
5.42639e-08 0.03323 -0.191889 0.999724 0.000276033
5.46209e-08 0.115502 -2.70237 0.996669 0.00333149
5.49779e-08 0.129839 -2.30593 0.995791 0.00420861
5.53349e-08 0.0783395 -1.81346 0.998467 0.00153348
5.56919e-08 0.0113367 1.83437 0.999968 3.21301e-05
5.60489e-08 0.0598479 -1.07375 0.999105 0.000895177
5.64059e-08 0.039118 2.43549 0.999617 0.000382506
5.67629e-08 0.00842173 -0.271096 0.999982 1.77313e-05
5.71199e-08 0.150169 2.98604 0.994373 0.00562708
5.74769e-08 0.000618712 0.219478 1 9.57012e-08
5.78339e-08 0.017513 -2.62467 0.999923 7.66741e-05
5.81909e-08 0.121461 -2.38698 0.996316 0.00368366
5.85479e-08 0.00317288 -2.105 0.999997 2.51679e-06
5.89049e-08 0.101904 -1.81125 0.997406 0.00259388
5.92619e-08 0.13459 -1.20844 0.995478 0.00452178
5.96189e-08 0.0681562 2.10842 0.998839 0.00116087
5.99759e-08 0.0243923 2.61804 0.999851 0.000148738
6.03329e-08 0.0659529 -0.138987 0.998913 0.00108705
6.06899e-08 0.133019 0.173913 0.995583 0.00441697
6.10469e-08 0.00593095 -2.71594 0.999991 8.79402e-06
6.14039e-08 0.0362554 -2.27994 0.999671 0.000328577
6.17609e-08 0.0403131 1.22577 0.999594 0.000406231
6.21179e-08 0.051905 1.62332 0.999327 0.00067338
6.24749e-08 0.0196549 1.96413 0.999903 9.65752e-05
6.28319e-08 0.081291 2.05918 0.998349 0.00165115
6.31889e-08 0.0779142 2.32131 0.998483 0.00151689
6.35459e-08 0.0396612 2.66796 0.999607 0.0003932
6.39029e-08 0.0692258 3.05405 0.998802 0.00119757
6.42598e-08 0.0200906 -2.93311 0.999899 0.000100905
6.46168e-08 0.00764149 -2.76709 0.999985 1.4598e-05
6.49738e-08 0.0431296 0.683487 0.999535 0.00046497
6.53308e-08 0.0501031 -2.34056 0.999373 0.000627448
6.56878e-08 0.123045 1.10711 0.99622 0.00378027
6.60448e-08 0.149162 -1.55543 0.994448 0.00555206
6.64018e-08 0.0237434 -1.02392 0.999859 0.000140931
6.67588e-08 0.0307868 -0.700196 0.999763 0.000236937
6.71158e-08 0.00619738 2.68947 0.99999 9.60185e-06
6.74728e-08 0.0309504 2.7844 0.999761 0.000239462
6.78298e-08 0.0428663 -0.222432 0.999541 0.000459309
6.81868e-08 0.0327268 0.126626 0.999732 0.000267737
6.85438e-08 0.0248247 0.426788 0.999846 0.000154058
6.89008e-08 0.0307282 0.729323 0.999764 0.000236037
6.92578e-08 0.0344042 1.51788 0.999704 0.000295884
6.96148e-08 0.05318 -1.24824 0.999293 0.000706861
6.99718e-08 1.21829e-05 -0.976483 1 3.71057e-11
7.03288e-08 0.0890065 2.4059 0.998021 0.00197923
7.06858e-08 0.0601942 -0.379834 0.999094 0.000905563
7.10428e-08 0.157821 -0.0877467 0.993786 0.00621395
7.13998e-08 0.0420259 0.484671 0.999559 0.000441478
7.17568e-08 0.0873211 0.868368 0.998095 0.00190503
7.21138e-08 0.0159672 1.0251 0.999936 6.37364e-05
7.24708e-08 0.0709486 1.48279 0.998742 0.0012579
7.28278e-08 0.0162617 -1.3528 0.999934 6.61095e-05
7.31848e-08 0.0970912 2.13759 0.997645 0.00235483
7.35418e-08 0.00548615 2.56736 0.999992 7.52444e-06
7.38988e-08 0.00120341 3.08921 1 3.62051e-07
7.42558e-08 0.0517333 0.33959 0.999331 0.000668935
7.46128e-08 0.0323501 0.479207 0.999738 0.00026161
7.49698e-08 0.0745687 0.783213 0.998611 0.00138948
