Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,2.99879e-08,0.742637,0.257363,0.7811,0.2189
0.01,3.03449e-08,0.767934,0.232066,0.80235,0.19765
0.01,3.07019e-08,0.802052,0.197948,0.835857,0.164143
0.01,3.10589e-08,0.827438,0.172562,0.852344,0.147656
0.01,3.14159e-08,0.846766,0.153234,0.869645,0.130355
0.01,3.17729e-08,0.862917,0.137083,0.88804,0.11196
0.01,3.21299e-08,0.88005,0.11995,0.908679,0.0913213
0.01,3.24869e-08,0.893521,0.106479,0.923693,0.0763071
0.01,3.28439e-08,0.909381,0.0906187,0.942092,0.0579077
0.01,3.32009e-08,0.928295,0.0717051,0.959195,0.0408047
0.01,3.35579e-08,0.947982,0.0520176,0.972888,0.027112
0.01,3.39149e-08,0.958505,0.0414951,0.977768,0.0222318
0.01,3.42719e-08,0.965714,0.0342857,0.984667,0.0153325
0.01,3.46289e-08,0.971426,0.0285741,0.990973,0.00902692
0.01,3.49859e-08,0.977173,0.0228268,0.996342,0.0036577
0.01,3.53429e-08,0.983593,0.0164073,0.99947,0.000529817
0.01,3.56999e-08,0.988674,0.0113262,0.99967,0.000330298
0.01,3.60569e-08,0.990128,0.00987209,0.997108,0.00289233
0.01,3.64139e-08,0.989713,0.0102873,0.992979,0.00702071
0.01,3.67709e-08,0.9882,0.0118,0.987227,0.0127728
0.01,3.71279e-08,0.983868,0.0161318,0.977998,0.0220018
0.01,3.74849e-08,0.976399,0.0236007,0.967243,0.0327569
0.01,3.78419e-08,0.969013,0.0309873,0.958219,0.0417815
0.01,3.81989e-08,0.955157,0.0448433,0.939786,0.060214
0.01,3.85559e-08,0.945786,0.0542136,0.932196,0.0678039
0.01,3.89129e-08,0.937379,0.0626213,0.917645,0.0823546
0.01,3.92699e-08,0.926364,0.0736365,0.897626,0.102374
0.01,3.96269e-08,0.905843,0.0941572,0.86816,0.13184
0.01,3.99839e-08,0.888327,0.111673,0.852667,0.147333
0.01,4.03409e-08,0.869881,0.130119,0.83016,0.16984
0.01,4.06979e-08,0.84607,0.15393,0.801364,0.198636
0.01,4.10549e-08,0.828628,0.171372,0.784468,0.215532
0.01,4.14119e-08,0.796878,0.203122,0.74346,0.25654
0.01,4.17689e-08,0.775571,0.224429,0.728974,0.271026
0.01,4.21259e-08,0.752649,0.247351,0.699219,0.300781
0.01,4.24829e-08,0.742122,0.257878,0.684001,0.315999
0.01,4.28399e-08,0.722513,0.277487,0.645109,0.354891
0.01,4.31969e-08,0.689061,0.310939,0.601078,0.398922
0.01,4.35539e-08,0.669483,0.330517,0.585812,0.414188
0.01,4.39109e-08,0.646523,0.353477,0.55214,0.44786
0.01,4.42679e-08,0.619366,0.380634,0.517345,0.482655
0.01,4.46249e-08,0.579907,0.420093,0.473969,0.526031
0.01,4.49819e-08,0.540158,0.459842,0.443119,0.556881
0.01,4.53389e-08,0.511463,0.488537,0.423325,0.576675
0.01,4.56959e-08,0.482429,0.517571,0.392172,0.607828
0.01,4.60529e-08,0.444117,0.555883,0.352829,0.647171
0.01,4.64099e-08,0.410852,0.589148,0.327711,0.672289
0.01,4.67669e-08,0.379051,0.620949,0.299768,0.700232
0.01,4.71239e-08,0.347115,0.652885,0.270839,0.729161
0.01,4.74809e-08,0.316626,0.683374,0.244151,0.755849
0.01,4.78379e-08,0.288333,0.711667,0.219087,0.780913
0.01,4.81949e-08,0.263261,0.736739,0.195788,0.804212
0.01,4.85519e-08,0.230218,0.769782,0.163954,0.836046
0.01,4.89089e-08,0.193752,0.806248,0.137085,0.862915
0.01,4.92659e-08,0.195043,0.804957,0.147378,0.852622
0.01,4.96229e-08,0.167268,0.832732,0.101999,0.898001
0.01,4.99799e-08,0.136635,0.863365,0.080174,0.919826
0.01,5.03369e-08,0.106124,0.893876,0.0619784,0.938022
0.01,5.06939e-08,0.0850765,0.914923,0.0525519,0.947448
0.01,5.10509e-08,0.0709366,0.929063,0.043206,0.956794
0.01,5.14079e-08,0.0519316,0.948068,0.0269739,0.973026
0.01,5.17649e-08,0.0372013,0.962799,0.018821,0.981179
0.01,5.21219e-08,0.028548,0.971452,0.0139242,0.986076
0.01,5.24789e-08,0.0199293,0.980071,0.00699404,0.993006
0.01,5.28359e-08,0.011192,0.988808,0.00208865,0.997911
0.01,5.31929e-08,0.00548787,0.994512,0.000543345,0.999457
0.01,5.35499e-08,0.00248515,0.997515,0.000686553,0.999313
0.01,5.39069e-08,0.000309692,0.99969,0.00175886,0.998241
0.01,5.42639e-08,0.000403225,0.999597,0.00554341,0.994457
0.01,5.46209e-08,0.00264803,0.997352,0.0116965,0.988304
0.01,5.49779e-08,0.00909503,0.990905,0.0225451,0.977455
0.01,5.53349e-08,0.0138809,0.986119,0.0254228,0.974577
0.01,5.56919e-08,0.0275659,0.972434,0.0463694,0.953631
0.01,5.60489e-08,0.0358027,0.964197,0.0491403,0.95086
0.01,5.64059e-08,0.0464734,0.953527,0.0651717,0.934828
0.01,5.67629e-08,0.0606374,0.939363,0.0839386,0.916061
0.01,5.71199e-08,0.0723054,0.927695,0.097262,0.902738
0.01,5.74769e-08,0.0911958,0.908804,0.123872,0.876128
0.01,5.78339e-08,0.115128,0.884872,0.148706,0.851294
0.01,5.81909e-08,0.133638,0.866362,0.16322,0.83678
0.01,5.85479e-08,0.156946,0.843054,0.190964,0.809036
0.01,5.89049e-08,0.187222,0.812778,0.222061,0.777939
0.01,5.92619e-08,0.215838,0.784162,0.244806,0.755194
0.01,5.96189e-08,0.250944,0.749056,0.277498,0.722502
0.01,5.99759e-08,0.284135,0.715865,0.302287,0.697713
0.01,6.03329e-08,0.305657,0.694343,0.31845,0.68155
0.01,6.06899e-08,0.33561,0.66439,0.356157,0.643843
0.01,6.10469e-08,0.377662,0.622338,0.398168,0.601832
0.01,6.14039e-08,0.406717,0.593283,0.41509,0.58491
0.01,6.17609e-08,0.443262,0.556738,0.453378,0.546622
0.01,6.21179e-08,0.486621,0.513379,0.491209,0.508791
0.01,6.24749e-08,0.518991,0.481009,0.511502,0.488498
0.01,6.28319e-08,0.546387,0.453613,0.538093,0.461907
0.01,6.31889e-08,0.577867,0.422133,0.573676,0.426324
0.01,6.35459e-08,0.601772,0.398228,0.597371,0.402629
0.01,6.39029e-08,0.629738,0.370262,0.632265,0.367735
0.01,6.42598e-08,0.659063,0.340937,0.664365,0.335635
0.01,6.46168e-08,0.691815,0.308185,0.697669,0.302331
0.01,6.49738e-08,0.730319,0.269681,0.732379,0.267621
0.01,6.53308e-08,0.75345,0.24655,0.745767,0.254233
0.01,6.56878e-08,0.782807,0.217193,0.780001,0.219999
0.01,6.60448e-08,0.803824,0.196176,0.798441,0.201559
0.01,6.64018e-08,0.83485,0.16515,0.833803,0.166197
0.01,6.67588e-08,0.867868,0.132132,0.860804,0.139196
0.01,6.71158e-08,0.888545,0.111455,0.872124,0.127876
0.01,6.74728e-08,0.906065,0.0939348,0.890988,0.109012
0.01,6.78298e-08,0.921499,0.078501,0.909449,0.0905507
0.01,6.81868e-08,0.949887,0.0501129,0.942329,0.0576715
0.01,6.85438e-08,0.956779,0.0432213,0.937791,0.0622094
0.01,6.89008e-08,0.966065,0.033935,0.956241,0.0437586
0.01,6.92578e-08,0.973294,0.0267065,0.967845,0.0321549
0.01,6.96148e-08,0.980782,0.0192179,0.979751,0.020249
0.01,6.99718e-08,0.984071,0.0159287,0.985409,0.0145912
0.01,7.03288e-08,0.981851,0.0181485,0.989357,0.0106426
0.01,7.06858e-08,0.981995,0.0180051,0.996797,0.0032029
0.01,7.10428e-08,0.981516,0.0184842,0.999476,0.000524119
0.01,7.13998e-08,0.977075,0.0229247,0.999651,0.000349028
0.01,7.17568e-08,0.974659,0.0253412,0.998818,0.00118222
0.01,7.21138e-08,0.964333,0.035667,0.992973,0.00702694
0.01,7.24708e-08,0.955465,0.0445348,0.989187,0.010813
0.01,7.28278e-08,0.943109,0.0568907,0.980906,0.0190943
0.01,7.31848e-08,0.936287,0.0637129,0.976062,0.0239384
0.01,7.35418e-08,0.907469,0.0925314,0.949802,0.050198
0.01,7.38988e-08,0.893039,0.106961,0.948937,0.0510626
0.01,7.42558e-08,0.875343,0.124657,0.93247,0.0675303
0.01,7.46128e-08,0.854996,0.145004,0.914435,0.0855648
0.01,7.49698e-08,0.840198,0.159802,0.901406,0.0985937
0.01,7.53268e-08,0.827419,0.172581,0.884687,0.115313
0.01,7.56838e-08,0.813402,0.186598,0.863443,0.136557
0.01,7.60408e-08,0.786091,0.213909,0.829259,0.170741
0.01,7.63978e-08,0.768961,0.231039,0.81571,0.18429
0.01,7.67548e-08,0.751789,0.248211,0.791155,0.208845
0.01,7.71118e-08,0.728119,0.271881,0.759666,0.240334
0.01,7.74688e-08,0.707256,0.292744,0.735859,0.264141
0.01,7.78258e-08,0.675652,0.324348,0.697753,0.302247
0.01,7.81828e-08,0.646793,0.353207,0.672384,0.327616
0.01,7.85398e-08,0.629456,0.370544,0.654793,0.345207
0.01,7.88968e-08,0.608029,0.391971,0.621129,0.378871
0.01,7.92538e-08,0.570395,0.429605,0.574227,0.425773
0.01,7.96108e-08,0.546283,0.453717,0.557008,0.442992
0.01,7.99678e-08,0.496806,0.503194,0.50058,0.49942
0.01,8.03248e-08,0.458313,0.541687,0.47992,0.52008
0.01,8.06818e-08,0.435404,0.564596,0.464203,0.535797
0.01,8.10388e-08,0.40328,0.59672,0.423443,0.576557
0.01,8.13958e-08,0.38298,0.61702,0.404318,0.595682
0.01,8.17528e-08,0.358364,0.641636,0.368701,0.631299
0.01,8.21098e-08,0.331429,0.668571,0.336305,0.663695
0.01,8.24668e-08,0.300732,0.699268,0.302299,0.697701
0.01,8.28238e-08,0.273036,0.726964,0.276278,0.723722
0.01,8.31808e-08,0.245118,0.754882,0.246868,0.753132
0.01,8.35378e-08,0.21819,0.78181,0.219475,0.780525
0.01,8.38948e-08,0.202465,0.797535,0.203279,0.796721
0.01,8.42518e-08,0.183442,0.816558,0.174891,0.825109
0.01,8.46088e-08,0.156543,0.843457,0.142705,0.857295
0.01,8.49658e-08,0.139974,0.860026,0.128825,0.871175
0.01,8.53228e-08,0.127647,0.872353,0.111837,0.888163
0.01,8.56798e-08,0.106362,0.893638,0.0835206,0.916479
0.01,8.60368e-08,0.0944049,0.905595,0.0730526,0.926947
0.01,8.63938e-08,0.0859031,0.914097,0.059095,0.940905
0.01,8.67508e-08,0.0708358,0.929164,0.0385236,0.961476
0.01,8.71078e-08,0.0600688,0.939931,0.0289177,0.971082
0.01,8.74648e-08,0.0493617,0.950638,0.0178089,0.982191
0.01,8.78218e-08,0.0482969,0.951703,0.013887,0.986113
0.01,8.81788e-08,0.0495307,0.950469,0.00756804,0.992432
0.01,8.85358e-08,0.0516198,0.94838,0.00292325,0.997077
0.01,8.88928e-08,0.0514798,0.94852,0.000211383,0.999789
0.01,8.92498e-08,0.0563796,0.94362,0.000168365,0.999832
0.01,8.96068e-08,0.0677562,0.932244,0.0029403,0.99706
0.01,8.99638e-08,0.0717472,0.928253,0.00446181,0.995538
0.01,9.03208e-08,0.0827332,0.917267,0.01149,0.98851
0.01,9.06778e-08,0.0908452,0.909155,0.0168145,0.983185
0.01,9.10348e-08,0.104734,0.895266,0.0284705,0.97153
0.01,9.13918e-08,0.127031,0.872969,0.0437525,0.956247
0.01,9.17488e-08,0.142778,0.857222,0.051928,0.948072
0.01,9.21058e-08,0.161725,0.838275,0.0679779,0.932022
0.01,9.24628e-08,0.187832,0.812168,0.0887104,0.91129
0.01,9.28198e-08,0.21142,0.78858,0.104488,0.895512
0.01,9.31768e-08,0.232802,0.767198,0.121447,0.878553
0.01,9.35338e-08,0.244059,0.755941,0.133251,0.866749
0.01,9.38908e-08,0.263015,0.736985,0.161227,0.838773
0.01,9.42478e-08,0.27887,0.72113,0.181273,0.818727
0.01,9.46048e-08,0.307607,0.692393,0.216957,0.783043
0.01,9.49618e-08,0.348396,0.651604,0.253296,0.746704
0.01,9.53188e-08,0.369177,0.630823,0.261634,0.738366
0.01,9.56758e-08,0.392461,0.607539,0.291798,0.708202
0.01,9.60328e-08,0.427827,0.572173,0.332051,0.667949
0.01,9.63898e-08,0.46033,0.53967,0.359075,0.640925
0.01,9.67468e-08,0.488148,0.511852,0.384605,0.615395
0.01,9.71038e-08,0.514518,0.485482,0.413734,0.586266
0.01,9.74608e-08,0.540378,0.459622,0.444754,0.555246
0.01,9.78178e-08,0.568992,0.431008,0.479068,0.520932
0.01,9.81748e-08,0.591585,0.408415,0.504325,0.495675
0.01,9.85318e-08,0.615988,0.384012,0.537888,0.462112
0.01,9.88888e-08,0.646323,0.353677,0.575092,0.424908
