p N0 N1 N2 N3 estimation xi_exact ECM exact_ECM fisher fisher_exact
0.3501 123 14 38 25 0.836381 0.785398 0.0127859 0.0134705 0.391054 0.371182
0.3551 131 20 39 10 0.809072 0.785398 0.0133518 0.013696 0.374482 0.365071
0.3601 124 21 36 19 0.788719 0.785398 0.013875 0.0139266 0.360361 0.359024
0.3651 114 18 51 17 1.05687 0.785398 0.0114217 0.0141626 0.437764 0.353042
0.3701 129 24 24 23 0.478067 0.785398 0.0256685 0.0144041 0.194791 0.347124
0.3751 124 22 37 17 0.791817 0.785398 0.0145435 0.0146512 0.343797 0.34127
0.3801 132 13 37 18 0.745912 0.785398 0.0156518 0.0149041 0.319451 0.335479
0.3851 124 18 39 19 0.816513 0.785398 0.0146378 0.015163 0.341582 0.32975
0.3901 131 17 37 15 0.740008 0.785398 0.016347 0.0154282 0.305867 0.324083
0.3951 118 16 35 31 0.767499 0.785398 0.0160512 0.0156997 0.311504 0.318477
0.4001 109 24 45 22 0.98343 0.785398 0.0132698 0.0159779 0.376795 0.312933
0.4051 114 24 37 25 0.818175 0.785398 0.0156485 0.0162628 0.31952 0.30745
0.4101 109 21 47 23 1.0056 0.785398 0.0134868 0.0165549 0.370734 0.302026
0.4151 122 12 35 31 0.721562 0.785398 0.0183927 0.0168542 0.271847 0.296662
0.4201 113 23 38 26 0.827663 0.785398 0.0163177 0.017161 0.306415 0.291358
0.4251 127 24 29 20 0.534619 0.785398 0.0277786 0.0174757 0.179995 0.286112
0.4301 119 20 48 13 0.945203 0.785398 0.0150661 0.0177984 0.331872 0.280924
0.4351 113 24 33 30 0.709073 0.785398 0.0202346 0.0181294 0.247102 0.275795
0.4401 117 19 40 24 0.818662 0.785398 0.0177174 0.0184691 0.282208 0.270723
0.4451 113 22 43 22 0.890939 0.785398 0.016672 0.0188177 0.299903 0.265708
0.4501 109 23 41 27 0.877777 0.785398 0.0172008 0.0191755 0.290684 0.26075
0.4551 127 17 35 21 0.635026 0.785398 0.0250443 0.0195429 0.199646 0.255848
0.4601 118 23 44 15 0.861332 0.785398 0.0181559 0.0199202 0.275393 0.251002
0.4651 122 17 41 20 0.777063 0.785398 0.0205416 0.0203078 0.243409 0.246211
0.4701 120 15 29 36 0.491457 0.785398 0.0383496 0.020706 0.130379 0.241476
0.4751 113 28 36 23 0.721746 0.785398 0.0232323 0.0211153 0.215217 0.236795
0.4801 112 24 38 26 0.765383 0.785398 0.0221596 0.0215361 0.225636 0.232168
0.4851 122 17 33 28 0.56484 0.785398 0.0334184 0.0219688 0.149618 0.227596
0.4901 127 13 34 26 0.544774 0.785398 0.0360224 0.0224138 0.138803 0.223077
