Temps abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
2.74889e-08 0.830996 0.169004 0.612532 0.387468 -0.067735 0.13249
2.78459e-08 0.832779 0.167221 0.589159 0.410841 0.0425292 -0.0968693
2.82029e-08 0.868599 0.131401 0.66865 0.33135 -0.0595173 -0.0500319
2.85599e-08 0.874971 0.125029 0.662121 0.337879 0.0170977 -0.0219359
2.89169e-08 0.88174 0.11826 0.693936 0.306064 0.0110738 -0.15193
2.92739e-08 0.908354 0.0916465 0.757032 0.242968 -0.0677935 -0.0416357
2.96309e-08 0.906277 0.0937234 0.746472 0.253528 0.0189419 -0.122756
2.99879e-08 0.917143 0.0828572 0.797086 0.202914 -0.0397219 0.148884
3.03449e-08 0.917663 0.0823374 0.806038 0.193962 0.000320309 0.0920586
3.07019e-08 0.903787 0.0962131 0.810859 0.189141 0.0506891 -0.0753792
3.10589e-08 0.919797 0.0802029 0.875185 0.124815 -0.0649016 0.139375
3.14159e-08 0.910142 0.0898581 0.864612 0.135388 0.0292938 0.00400648
3.17729e-08 0.86709 0.13291 0.852269 0.147731 0.126626 0.14745
3.21299e-08 0.877488 0.122512 0.923051 0.0769492 -0.0376252 -0.0894143
3.24869e-08 0.851778 0.148222 0.913773 0.0862274 0.0590419 -0.0213871
3.28439e-08 0.855079 0.144921 0.951502 0.0484981 -0.0305862 -0.11946
3.32009e-08 0.855185 0.144815 0.964251 0.0357491 -0.0315134 -0.0208702
3.35579e-08 0.836948 0.163052 0.967074 0.0329261 0.0154497 -0.0836037
3.39149e-08 0.823267 0.176733 0.980294 0.0197061 -0.00510467 0.0345519
3.42719e-08 0.847043 0.152957 0.996485 0.00351472 -0.105901 -0.0706134
3.46289e-08 0.813292 0.186708 0.989229 0.0107712 0.043343 0.313259
3.49859e-08 0.805614 0.194386 0.998057 0.00194284 -0.0140072 0.0134498
3.53429e-08 0.794942 0.205058 0.999744 0.000256459 -0.00826651 -0.0548081
3.56999e-08 0.774988 0.225012 0.999937 6.33665e-05 0.00900173 0.0285635
3.60569e-08 0.752596 0.247404 0.998281 0.00171878 0.0129637 0.150071
