Time abs_alpha2 abs_beta2
5.42639e-08 0.00370528 0.994114
5.46209e-08 0.00849067 0.989314
5.49779e-08 0.0152098 0.98258
5.53349e-08 0.0238361 0.97394
5.56919e-08 0.0343355 0.963426
5.60489e-08 0.0466665 0.951081
5.64059e-08 0.0607804 0.936953
5.67629e-08 0.0766215 0.921097
5.71199e-08 0.0941271 0.903577
5.74769e-08 0.113228 0.884462
5.78339e-08 0.133849 0.863826
5.81909e-08 0.155909 0.841752
5.85479e-08 0.179321 0.818326
5.89049e-08 0.203992 0.793641
5.92619e-08 0.229825 0.767794
5.96189e-08 0.256717 0.740887
5.99759e-08 0.284564 0.713026
6.03329e-08 0.313254 0.684321
6.06899e-08 0.342676 0.654885
6.10469e-08 0.372712 0.624835
6.14039e-08 0.403244 0.594288
6.17609e-08 0.434153 0.563365
6.21179e-08 0.465315 0.532189
6.24749e-08 0.496608 0.500882
6.28319e-08 0.527908 0.469567
6.31889e-08 0.559093 0.438368
6.35459e-08 0.590039 0.407408
6.39029e-08 0.620623 0.376809
6.42598e-08 0.650727 0.346691
6.46168e-08 0.680229 0.317174
6.49738e-08 0.709015 0.288374
6.53308e-08 0.736971 0.260403
6.56878e-08 0.763987 0.233374
6.60448e-08 0.789955 0.207391
6.64018e-08 0.814774 0.182557
6.67588e-08 0.838346 0.158971
6.71158e-08 0.860578 0.136725
6.74728e-08 0.881381 0.115907
6.78298e-08 0.900675 0.0965991
6.81868e-08 0.918383 0.0788769
6.85438e-08 0.934435 0.0628104
6.89008e-08 0.948768 0.048463
6.92578e-08 0.961326 0.0358912
6.96148e-08 0.972058 0.0251444
6.99718e-08 0.980924 0.0162649
7.03288e-08 0.987886 0.0092877
7.06858e-08 0.99292 0.00424022
7.10428e-08 0.996003 0.00114227
7.13998e-08 0.997125 5.97847e-06
7.17568e-08 0.996281 0.000835745
7.21138e-08 0.993474 0.00362821
7.24708e-08 0.988716 0.00837228
7.28278e-08 0.982025 0.0150492
7.31848e-08 0.973427 0.0236324
7.35418e-08 0.962957 0.0340882
7.38988e-08 0.950656 0.0463751
7.42558e-08 0.936572 0.0604446
7.46128e-08 0.920761 0.0762412
7.49698e-08 0.903285 0.0937025
7.53268e-08 0.884214 0.11276
7.56838e-08 0.863622 0.133337
7.60408e-08 0.841591 0.155354
7.63978e-08 0.818207 0.178723
7.67548e-08 0.793564 0.203353
7.71118e-08 0.767757 0.229145
7.74688e-08 0.740889 0.255999
7.78258e-08 0.713065 0.283808
7.81828e-08 0.684396 0.312463
7.85398e-08 0.654995 0.34185
7.88968e-08 0.624977 0.371854
7.92538e-08 0.594461 0.402356
7.96108e-08 0.563566 0.433235
7.99678e-08 0.532416 0.464371
8.03248e-08 0.501133 0.495641
8.06818e-08 0.469839 0.52692
8.10388e-08 0.438659 0.558085
8.13958e-08 0.407716 0.589015
8.17528e-08 0.37713 0.619586
8.21098e-08 0.347024 0.649678
8.24668e-08 0.317515 0.679172
8.28238e-08 0.28872 0.707953
8.31808e-08 0.260753 0.735906
8.35378e-08 0.233723 0.762921
8.38948e-08 0.207738 0.788892
8.42518e-08 0.182899 0.813717
8.46088e-08 0.159305 0.837297
8.49658e-08 0.137048 0.859539
8.53228e-08 0.116216 0.880357
8.56798e-08 0.0968915 0.899667
8.60368e-08 0.0791504 0.917394
8.63938e-08 0.0630626 0.933467
8.67508e-08 0.0486914 0.947824
8.71078e-08 0.0360935 0.960408
8.74648e-08 0.0253185 0.971168
8.78218e-08 0.0164086 0.980064
8.81788e-08 0.00939912 0.987059
8.85358e-08 0.00431746 0.992126
8.88928e-08 0.00118362 0.995246
8.92498e-08 9.86525e-06 0.996405
8.96068e-08 0.000800746 0.9956
8.99638e-08 0.00355306 0.992834
9.03208e-08 0.00825586 0.988116
9.06778e-08 0.0148905 0.981467
9.10348e-08 0.0234308 0.972913
9.13918e-08 0.0338429 0.962486
9.17488e-08 0.0460858 0.950229
9.21058e-08 0.060111 0.93619
9.24628e-08 0.0758632 0.920423
9.28198e-08 0.0932801 0.902992
9.31768e-08 0.112293 0.883965
9.35338e-08 0.132827 0.863416
9.38908e-08 0.154801 0.841428
9.42478e-08 0.178128 0.818087
9.46048e-08 0.202716 0.793484
9.49618e-08 0.228468 0.767718
9.53188e-08 0.255283 0.740889
9.56758e-08 0.283055 0.713103
9.60328e-08 0.311673 0.68447
9.63898e-08 0.341026 0.655103
9.67468e-08 0.370997 0.625117
9.71038e-08 0.401469 0.594631
9.74608e-08 0.43232 0.563766
9.78178e-08 0.46343 0.532642
9.81748e-08 0.494675 0.501382
9.85318e-08 0.525933 0.47011
9.88888e-08 0.55708 0.438949
9.92458e-08 0.587993 0.408022
9.96028e-08 0.61855 0.37745
9.99598e-08 0.648631 0.347355
1.00317e-07 0.678117 0.317855
1.00674e-07 0.706891 0.289066
1.01031e-07 0.734842 0.261101
1.01388e-07 0.761857 0.234072
1.01745e-07 0.787831 0.208084
