Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
1.19595e-08 0.267163 0.732837 0.237712 0.762288 0.0255493 -0.247044
1.2138e-08 0.296372 0.703628 0.271759 0.728241 -0.0837615 -0.0291743
1.23165e-08 0.307778 0.692222 0.240126 0.759874 -0.0425869 -0.0979133
1.2495e-08 0.281493 0.718507 0.192241 0.807759 0.0428729 -0.0105083
1.26735e-08 0.275528 0.724472 0.197128 0.802872 -0.000841695 -0.221725
1.2852e-08 0.277465 0.722535 0.189598 0.810402 -0.0115144 0.155568
1.30305e-08 0.264805 0.735195 0.166646 0.833354 0.0170864 -0.1771
1.3209e-08 0.298482 0.701518 0.192855 0.807145 -0.0804763 0.191582
1.33875e-08 0.29212 0.70788 0.149642 0.850358 0.00302444 -0.190529
1.3566e-08 0.311298 0.688702 0.156963 0.843037 -0.0465064 0.187075
1.37445e-08 0.292416 0.707584 0.11946 0.88054 0.0311181 -0.10196
1.3923e-08 0.353496 0.646504 0.168261 0.831739 -0.137288 0.199874
1.41015e-08 0.359659 0.640341 0.118192 0.881808 -0.0250335 -0.089768
1.428e-08 0.339762 0.660238 0.0911564 0.908844 0.0324767 -0.0500825
1.44585e-08 0.404223 0.595777 0.136003 0.863997 -0.140926 -0.20874
1.4637e-08 0.391638 0.608362 0.0758928 0.924107 0.0250194 -0.126715
1.48155e-08 0.417577 0.582423 0.0877495 0.912251 -0.0493695 -0.0882439
1.4994e-08 0.400587 0.599413 0.0564845 0.943515 0.0409639 -0.124225
1.51725e-08 0.360411 0.639589 0.03895 0.96105 0.0931083 0.000606444
1.5351e-08 0.294576 0.705424 0.0238953 0.976105 0.15097 0.11638
1.55295e-08 0.345133 0.654867 0.0691967 0.930803 -0.101116 -0.011346
1.5708e-08 0.299196 0.700804 0.0217827 0.978217 0.106414 0.101908
1.58865e-08 0.340456 0.659544 0.0512473 0.948753 -0.0832209 0.0210279
1.6065e-08 0.362614 0.637386 0.037322 0.962678 -0.0414111 0.200815
1.62435e-08 0.377386 0.622614 0.0311865 0.968813 -0.0315794 0.267246
1.6422e-08 0.316305 0.683695 0.00776477 0.992235 0.119459 -0.00103479
1.66005e-08 0.328592 0.671408 0.0228293 0.977171 -0.0349466 -0.0622576
1.6779e-08 0.35106 0.64894 0.0224484 0.977552 -0.053842 0.194866
1.69575e-08 0.334366 0.665634 0.00990488 0.990095 0.0232372 -0.0206161
1.7136e-08 0.334002 0.665998 0.0110148 0.988985 -0.0102741 -0.0324245
1.73145e-08 0.280982 0.719018 0.00147564 0.998524 0.105224 -0.0306462
1.7493e-08 0.294277 0.705723 0.0102196 0.98978 -0.0378373 -0.227935
1.76715e-08 0.302286 0.697714 0.00728152 0.992718 -0.0184604 -0.185352
1.785e-08 0.319159 0.680841 0.00925174 0.990748 -0.0311847 0.346878
1.80285e-08 0.316536 0.683464 0.00658149 0.993419 0.000457688 -0.0761205
1.8207e-08 0.289925 0.710075 0.0034257 0.996574 0.0554887 -0.0380998
1.83855e-08 0.251821 0.748179 0.00284298 0.997157 0.0849876 0.0335997
1.8564e-08 0.270698 0.729302 0.0167981 0.983202 -0.0443218 0.08446
1.87425e-08 0.242409 0.757591 0.00794942 0.992051 0.0613431 -0.000212744
1.8921e-08 0.251308 0.748692 0.0205901 0.97941 -0.0235417 -0.0797908
1.90995e-08 0.348416 0.651584 0.0622476 0.937752 -0.212384 0.0413395
1.9278e-08 0.374519 0.625481 0.0337446 0.966255 -0.0550189 -0.268056
1.94565e-08 0.380502 0.619498 0.029908 0.970092 -0.00440417 0.0400384
1.9635e-08 0.410022 0.589978 0.0445209 0.955479 -0.0534449 -0.0103612
1.98135e-08 0.434966 0.565034 0.0475482 0.952452 -0.0430445 -0.272944
1.9992e-08 0.388894 0.611106 0.0250581 0.974942 0.109177 0.111796
2.01705e-08 0.351705 0.648295 0.0335869 0.966413 0.0895651 0.186738
2.0349e-08 0.295654 0.704346 0.0324682 0.967532 0.127105 0.230757
2.05275e-08 0.285596 0.714404 0.0604611 0.939539 0.0225379 0.00398656
2.0706e-08 0.289334 0.710666 0.0755156 0.924484 -0.00754391 -0.0273904
2.08845e-08 0.287686 0.712314 0.0802687 0.919731 0.00567335 0.109545
2.1063e-08 0.255764 0.744236 0.0708586 0.929141 0.0708436 -0.078871
2.12415e-08 0.208904 0.791096 0.06796 0.93204 0.113125 0.0675978
2.14199e-08 0.200502 0.799498 0.101714 0.898286 0.0213691 -0.0640116
2.15984e-08 0.2031 0.7969 0.119221 0.880779 -0.00320252 0.155371
2.17769e-08 0.189716 0.810284 0.117654 0.882346 0.0328182 0.105186
2.19554e-08 0.214424 0.785576 0.161816 0.838184 -0.0649782 -0.0840814
2.21339e-08 0.180272 0.819728 0.120351 0.879649 0.0858328 0.252544
2.23124e-08 0.125517 0.874483 0.110765 0.889235 0.145532 -0.118103
2.24909e-08 0.0789519 0.921048 0.11831 0.88169 0.152093 -0.0710518
2.26694e-08 0.104437 0.895563 0.218489 0.781511 -0.0875205 0.00920992
2.28479e-08 0.136826 0.863174 0.233674 0.766326 -0.0975465 -0.393176
2.30264e-08 0.123663 0.876337 0.184281 0.815719 0.0540421 -0.133395
2.32049e-08 0.146625 0.853375 0.238033 0.761967 -0.048043 -0.146278
2.33834e-08 0.150452 0.849548 0.225374 0.774626 0.0123646 -0.0905526
2.35619e-08 0.156391 0.843609 0.240127 0.759873 0.00883553 0.118967
2.37404e-08 0.163431 0.836569 0.255726 0.744274 0.00411427 0.182379
2.39189e-08 0.192321 0.807679 0.296007 0.703993 -0.0559726 -0.132483
2.40974e-08 0.215315 0.784685 0.29944 0.70056 -0.0339909 -0.19759
2.42759e-08 0.245208 0.754792 0.318227 0.681773 -0.0439836 -0.0669857
2.44544e-08 0.238217 0.761783 0.291596 0.708404 0.0445231 -0.0741176
2.46329e-08 0.260376 0.739624 0.337014 0.662986 -0.0220063 0.0879407
2.48114e-08 0.282778 0.717222 0.35202 0.64798 -0.0221739 0.161196
2.49899e-08 0.319822 0.680178 0.382871 0.617129 -0.0550143 0.272219
2.51684e-08 0.444211 0.555789 0.487823 0.512177 -0.236656 -0.101177
2.53469e-08 0.450693 0.549307 0.381322 0.618678 0.00959776 -0.023678
2.55254e-08 0.45749 0.54251 0.39666 0.60334 0.00953599 0.174328
2.57039e-08 0.541381 0.458619 0.49073 0.50927 -0.148776 0.0699265
2.58824e-08 0.527383 0.472617 0.409486 0.590514 0.0454793 -0.0596239
2.60609e-08 0.519369 0.480631 0.429693 0.570307 0.034937 -0.110934
2.62394e-08 0.485612 0.514388 0.418297 0.581703 0.0890493 -0.0102274
2.64179e-08 0.552141 0.447859 0.532277 0.467723 -0.111505 -0.315657
2.65964e-08 0.510585 0.489415 0.436173 0.563827 0.111001 -0.169871
2.67749e-08 0.506954 0.493046 0.487227 0.512773 0.0370597 -0.292675
2.69534e-08 0.490717 0.509283 0.489296 0.510704 0.0638765 -0.0311065
2.71319e-08 0.51482 0.48518 0.544641 0.455359 -0.0167971 -0.145873
2.73104e-08 0.529389 0.470611 0.550621 0.449379 0.00190838 -0.0697041
2.74889e-08 0.531198 0.468802 0.553721 0.446279 0.0270528 0.0933123
2.76674e-08 0.473875 0.526125 0.509322 0.490678 0.145882 -0.178154
2.78459e-08 0.519023 0.480977 0.625811 0.374189 -0.0603394 -0.209154
2.80244e-08 0.576382 0.423618 0.654061 0.345939 -0.0879176 0.0538291
2.82029e-08 0.555731 0.444269 0.592713 0.407287 0.0698247 -0.0117133
2.83814e-08 0.495015 0.504985 0.567969 0.432031 0.149627 -0.189474
2.85599e-08 0.5001 0.4999 0.649103 0.350897 0.0145746 0.114999
2.87384e-08 0.467347 0.532653 0.626801 0.373199 0.0923546 0.0941047
2.89169e-08 0.502085 0.497915 0.704543 0.295457 -0.0412975 0.114934
2.90954e-08 0.468664 0.531336 0.654671 0.345329 0.0965072 -0.0401981
2.92739e-08 0.519039 0.480961 0.745829 0.254171 -0.0716184 0.204347
2.94524e-08 0.550984 0.449016 0.742737 0.257263 -0.0331229 0.17165
2.96309e-08 0.602963 0.397037 0.773585 0.226415 -0.0738508 0.213473
2.98094e-08 0.60111 0.39889 0.740388 0.259612 0.0345063 -0.0295215
2.99879e-08 0.582037 0.417963 0.738198 0.261802 0.0696974 -0.125863
3.01664e-08 0.610323 0.389677 0.791988 0.208012 -0.0262943 0.00913587
3.03449e-08 0.648504 0.351496 0.812863 0.187137 -0.0477389 -0.0026189
3.05234e-08 0.620073 0.379927 0.769498 0.230502 0.0903908 0.082368
3.07019e-08 0.635307 0.364693 0.818831 0.181169 -0.000445881 0.115385
3.08804e-08 0.643617 0.356383 0.825594 0.174406 0.0130071 0.0347652
3.10589e-08 0.631076 0.368924 0.821134 0.178866 0.0560678 0.113355
3.12374e-08 0.625424 0.374576 0.83861 0.16139 0.0403821 -0.0191266
3.14159e-08 0.682353 0.317647 0.893693 0.106307 -0.0908775 0.0989197
3.15944e-08 0.633308 0.366692 0.828167 0.171833 0.130885 0.0512107
3.17729e-08 0.635347 0.364653 0.87637 0.12363 0.0223048 -0.302687
3.19514e-08 0.610073 0.389927 0.864571 0.135429 0.0824626 -0.441918
3.21299e-08 0.677614 0.322386 0.93131 0.0686904 -0.110263 -0.000460234
3.23084e-08 0.706716 0.293284 0.917219 0.0827813 -0.0321426 -0.417152
3.24869e-08 0.665277 0.334723 0.882177 0.117823 0.115254 -0.00168425
3.26654e-08 0.714368 0.285632 0.944327 0.0556728 -0.0804416 -0.142325
3.28439e-08 0.738131 0.261869 0.93974 0.0602598 -0.0305412 0.0275684
3.30224e-08 0.713526 0.286474 0.918153 0.0818468 0.0782844 -0.352229
3.32009e-08 0.759329 0.240671 0.963479 0.0365212 -0.0900506 -0.159454
3.33794e-08 0.733622 0.266378 0.934728 0.0652725 0.067987 -0.213711
3.35579e-08 0.741717 0.258283 0.960141 0.0398592 -0.016668 0.116313
3.37364e-08 0.70904 0.29096 0.946181 0.0538195 0.0780794 0.00116129
3.39149e-08 0.663936 0.336064 0.946728 0.0532719 0.101662 -0.130005
3.40934e-08 0.626918 0.373082 0.956952 0.0430484 0.0773204 -0.222218
3.42719e-08 0.708213 0.291787 0.99533 0.00467012 -0.180163 -0.12037
3.44504e-08 0.680856 0.319144 0.971525 0.0284748 0.0481845 0.0946146
3.46289e-08 0.6761 0.3239 0.981495 0.0185051 0.0014076 -0.148696
3.48074e-08 0.630329 0.369671 0.972813 0.0271866 0.0827552 0.0782002
3.49859e-08 0.659237 0.340763 0.993938 0.00606182 -0.0718858 0.078585
3.51644e-08 0.684278 0.315722 0.993621 0.00637946 -0.0627365 -0.313582
3.53429e-08 0.728812 0.271188 0.997666 0.0023343 -0.11631 0.0754263
3.55214e-08 0.718916 0.281084 0.987648 0.0123523 0.00535241 -0.157691
3.56999e-08 0.657576 0.342424 0.971333 0.0286671 0.111538 -0.274522
3.58784e-08 0.661625 0.338375 0.990666 0.00933351 -0.035252 0.215348
3.60569e-08 0.625484 0.374516 0.978739 0.0212613 0.0527935 -0.0138
3.62354e-08 0.629381 0.370619 0.987388 0.0126122 -0.0311806 -0.090093
3.64139e-08 0.606236 0.393764 0.978556 0.0214441 0.0226017 0.065717
3.65924e-08 0.611806 0.388194 0.983598 0.0164022 -0.0352438 -0.0618438
3.67709e-08 0.576777 0.423223 0.968066 0.0319339 0.0462301 0.00608089
3.69494e-08 0.589548 0.410452 0.979266 0.0207344 -0.0509782 -0.226364
3.71279e-08 0.545796 0.454204 0.957133 0.0428673 0.0596325 0.26753
3.73064e-08 0.565802 0.434198 0.974932 0.0250681 -0.0646269 -0.00946767
3.74849e-08 0.506098 0.493902 0.937705 0.0622952 0.095207 -0.0510573
3.76634e-08 0.450816 0.549184 0.933355 0.0666453 0.085151 -0.0919321
3.78419e-08 0.454734 0.545266 0.95521 0.0447901 -0.0349975 0.137929
3.80204e-08 0.421554 0.578446 0.930315 0.0696847 0.0422345 -0.279894
3.81989e-08 0.40768 0.59232 0.93478 0.0652197 -0.000885035 0.143233
3.83774e-08 0.341587 0.658413 0.896349 0.103651 0.109675 -0.0329097
3.85559e-08 0.292366 0.707634 0.897547 0.102453 0.0784083 0.0701848
3.87344e-08 0.289369 0.710631 0.917773 0.082227 -0.0195942 0.0437634
3.89129e-08 0.271033 0.728967 0.899332 0.100668 0.015584 0.000408365
3.90914e-08 0.283522 0.716478 0.91117 0.0888295 -0.0529633 0.0774523
3.92699e-08 0.201916 0.798084 0.827737 0.172263 0.167644 -0.0802761
3.94484e-08 0.206693 0.793307 0.888078 0.111922 -0.036528 -0.111966
3.96269e-08 0.200825 0.799175 0.870178 0.129822 -0.0118972 -0.086975
3.98054e-08 0.169655 0.830345 0.837154 0.162846 0.052638 0.0492624
3.99839e-08 0.166762 0.833238 0.852274 0.147726 -0.01894 -0.0115635
4.01624e-08 0.185445 0.814555 0.861424 0.138576 -0.0756803 -0.0956484
4.03409e-08 0.165908 0.834092 0.814374 0.185626 0.023464 0.0948063
4.05194e-08 0.2096 0.7904 0.862806 0.137194 -0.138211 0.0298594
4.06979e-08 0.19318 0.80682 0.794843 0.205157 0.0155969 0.21652
4.08764e-08 0.183115 0.816885 0.786876 0.213124 0.0053658 0.0376851
4.10549e-08 0.18251 0.81749 0.78333 0.21667 -0.0174165 -0.278458
4.12334e-08 0.156082 0.843918 0.743551 0.256449 0.0457456 -0.0367828
4.14119e-08 0.166026 0.833974 0.7723 0.2277 -0.0522024 -0.0746186
4.15904e-08 0.147947 0.852053 0.726108 0.273892 0.0235271 -0.0938079
4.17689e-08 0.104534 0.895466 0.675476 0.324524 0.103707 -0.021284
4.19474e-08 0.0497006 0.950299 0.623755 0.376245 0.181302 -0.0790926
4.21259e-08 0.0645231 0.935477 0.738208 0.261792 -0.0923029 0.26927
4.23044e-08 0.0737809 0.926219 0.709858 0.290142 -0.0594355 -0.0200563
4.24829e-08 0.0482325 0.951767 0.627629 0.372371 0.0847778 -0.0521121
4.26614e-08 0.0201476 0.979852 0.587888 0.412112 0.135235 -0.0785075
4.28399e-08 0.0104604 0.98954 0.61275 0.38725 0.0567945 0.24676
4.30184e-08 0.0042381 0.995762 0.59697 0.40303 0.0602775 0.16847
4.31969e-08 0.000255807 0.999744 0.56474 0.43526 0.094726 -0.0565947
4.33754e-08 4.52847e-05 0.999955 0.568883 0.431117 0.0571833 0.139605
4.35539e-08 0.000466399 0.999534 0.591955 0.408045 -0.0206023 -0.0807686
4.37324e-08 0.00085299 0.999147 0.55871 0.44129 0.0153563 -0.157198
4.39109e-08 0.00183348 0.998167 0.54917 0.45083 0.0041674 0.0203401
4.40894e-08 0.000343798 0.999656 0.495967 0.504033 0.0799818 -0.0304532
4.42679e-08 0.000264694 0.999735 0.503049 0.496951 0.0359602 0.0799135
4.44464e-08 0.0015528 0.998447 0.51312 0.48688 -0.0149227 -0.0280723
4.46249e-08 0.00015483 0.999845 0.447793 0.552207 0.0853587 -0.0034302
4.48034e-08 0.00240919 0.997591 0.496678 0.503322 -0.0419048 0.132277
4.49819e-08 4.98867e-05 0.99995 0.404797 0.595203 0.115281 0.250314
4.51604e-08 0.000641912 0.999358 0.449687 0.550313 -0.005738 0.0348526
4.53389e-08 0.00778496 0.992215 0.479548 0.520452 -0.0948018 0.139091
4.55174e-08 0.0116611 0.988339 0.422415 0.577585 -0.00897702 0.148709
4.56959e-08 0.0251572 0.974843 0.439005 0.560995 -0.0723586 0.0719356
4.58744e-08 0.0498033 0.950197 0.4386 0.5614 -0.102115 -0.011325
4.60529e-08 0.0600852 0.939915 0.380557 0.619443 -0.0153432 -0.172776
4.62314e-08 0.0508887 0.949111 0.32426 0.67574 0.071342 -0.141369
4.64099e-08 0.0276517 0.972348 0.273387 0.726613 0.152372 0.0316184
4.65884e-08 0.0624271 0.937573 0.39582 0.60418 -0.139522 -0.233712
4.67669e-08 0.0722181 0.927782 0.318565 0.681435 -0.00836775 0.0165231
4.69454e-08 0.103329 0.896671 0.337509 0.662491 -0.0794646 -0.0465857
4.71239e-08 0.114055 0.885945 0.288071 0.711929 -0.00381584 -0.105462
4.73024e-08 0.0926788 0.907321 0.22911 0.77089 0.10017 -0.0718411
4.74809e-08 0.0662902 0.93371 0.2064 0.7936 0.127127 0.198952
4.76594e-08 0.0834038 0.916596 0.261884 0.738116 -0.0341368 0.0248104
4.78379e-08 0.08 0.92 0.215429 0.784571 0.0435744 -0.318952
4.80164e-08 0.0790582 0.920942 0.208059 0.791941 0.0319495 0.0571514
4.81949e-08 0.0998637 0.900136 0.226325 0.773675 -0.0436254 -0.378065
4.83734e-08 0.0686104 0.93139 0.14563 0.85437 0.136665 0.167989
4.85519e-08 0.0512415 0.948758 0.14728 0.85272 0.100583 -0.283502
4.87304e-08 0.0728812 0.927119 0.200218 0.799782 -0.0675051 0.171712
4.89089e-08 0.0755836 0.924416 0.156526 0.843474 0.0162259 -0.0777508
4.90874e-08 0.11611 0.88389 0.193796 0.806204 -0.112747 -0.114003
4.92659e-08 0.125948 0.874052 0.142765 0.857235 -0.0062037 -0.0424314
4.94444e-08 0.146461 0.853539 0.144198 0.855802 -0.0362715 0.264774
4.96229e-08 0.17185 0.82815 0.13527 0.86473 -0.0410223 -0.103615
4.98014e-08 0.164563 0.835437 0.0986476 0.901352 0.0465861 0.196822
4.99799e-08 0.18193 0.81807 0.108719 0.891281 -0.0161006 -0.0391168
5.01584e-08 0.197971 0.802029 0.0990847 0.900915 -0.0114189 0.149028
5.03369e-08 0.155826 0.844174 0.0524926 0.947507 0.141434 0.214397
5.05154e-08 0.113701 0.886299 0.0438224 0.956178 0.155124 0.0880095
5.06939e-08 0.154957 0.845043 0.0988437 0.901156 -0.0900751 0.0279611
