Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
1.5736e-05 0.632295 0.367705 0.130807 0.869193 0.151423 -0.151353
1.59709e-05 0.684455 0.315545 0.228126 0.771874 -0.0473233 0.362983
1.62058e-05 0.725675 0.274325 0.247585 0.752415 -0.0307815 0.0746798
1.64406e-05 0.725564 0.274436 0.236309 0.763691 0.0580143 0.0502506
1.66755e-05 0.753996 0.246004 0.293416 0.706584 -0.00877292 -0.0494269
1.69103e-05 0.817673 0.182327 0.363907 0.636093 -0.0986371 -0.330613
1.71452e-05 0.827104 0.172896 0.328914 0.671086 0.0377079 -0.0343566
1.73801e-05 0.890072 0.109928 0.435397 0.564603 -0.119193 -0.0213821
1.76149e-05 0.929822 0.070178 0.444665 0.555335 -0.0770283 0.19614
1.78498e-05 0.945852 0.0541483 0.439802 0.560198 -0.00626744 0.189707
1.80847e-05 0.974124 0.0258756 0.513485 0.486515 -0.0922167 0.134914
1.83195e-05 0.992728 0.00727208 0.552033 0.447967 -0.106895 0.0260649
1.85544e-05 0.99841 0.00158994 0.55905 0.44095 -0.0584115 0.0254562
1.87893e-05 0.999891 0.000109101 0.592108 0.407892 -0.0627435 -0.136133
1.90241e-05 0.999495 0.000504593 0.605167 0.394833 -0.0271169 0.0770677
1.9259e-05 0.996454 0.00354586 0.615513 0.384487 0.0119645 0.228319
1.94939e-05 0.978882 0.0211182 0.598235 0.401765 0.110129 -0.0578088
1.97287e-05 0.982206 0.0177944 0.720142 0.279858 -0.086858 -0.280365
1.99636e-05 0.96052 0.0394797 0.676414 0.323586 0.0712484 -0.0427099
2.01985e-05 0.955064 0.0449357 0.752057 0.247943 -0.0339992 -0.140872
2.04333e-05 0.934345 0.0656552 0.750634 0.249366 0.0317137 -0.152629
2.06682e-05 0.898022 0.101978 0.75845 0.24155 0.0750954 0.152038
2.09031e-05 0.860112 0.139888 0.792626 0.207374 0.0559082 -0.0484658
2.11379e-05 0.816446 0.183554 0.816352 0.183648 0.0586498 -0.126042
2.13728e-05 0.84245 0.15755 0.90176 0.0982398 -0.127095 0.0564956
2.16077e-05 0.83462 0.16538 0.893481 0.106519 -0.0382834 -0.249619
2.18425e-05 0.795204 0.204796 0.886099 0.113901 0.0480563 -0.0302376
2.20774e-05 0.792557 0.207443 0.930887 0.069113 -0.0468652 0.146158
2.23123e-05 0.73069 0.26931 0.911588 0.0884118 0.087346 0.0364335
2.25471e-05 0.765029 0.234971 0.975294 0.0247063 -0.138353 0.0164623
2.2782e-05 0.767293 0.232707 0.973607 0.0263927 -0.0651285 -0.156628
2.30169e-05 0.722927 0.277073 0.965377 0.0346226 0.045459 -0.0191957
2.32517e-05 0.712606 0.287394 0.98644 0.0135601 -0.0333756 -0.206868
2.34866e-05 0.677337 0.322663 0.986743 0.0132567 0.0266697 -0.0464166
2.37215e-05 0.636226 0.363774 0.991867 0.00813275 0.0378661 0.124684
2.39563e-05 0.669945 0.330055 0.999486 0.000514305 -0.124527 -0.210248
2.41912e-05 0.607204 0.392796 0.975169 0.024831 0.0845496 -0.0672294
2.44261e-05 0.542501 0.457499 0.963964 0.0360356 0.0872525 -0.160472
2.46609e-05 0.531992 0.468008 0.971275 0.0287254 -0.0152012 0.0573222
2.48958e-05 0.450296 0.549704 0.928204 0.0717964 0.124303 -0.0334131
2.51307e-05 0.392153 0.607847 0.923466 0.076534 0.0802875 0.0172128
2.53655e-05 0.37445 0.62555 0.92901 0.07099 -0.00154481 0.152868
2.56004e-05 0.382503 0.617497 0.928702 0.071298 -0.0612019 0.167181
2.58353e-05 0.348325 0.651675 0.887693 0.112307 0.0200673 0.134878
2.60701e-05 0.340344 0.659656 0.886395 0.113605 -0.038306 0.0571616
2.6305e-05 0.355997 0.644003 0.88291 0.11709 -0.0893153 -0.226685
2.65399e-05 0.320684 0.679316 0.819852 0.180148 0.0262943 -0.151945
2.67747e-05 0.284711 0.715289 0.790664 0.209336 0.0373552 -0.135333
2.70096e-05 0.252625 0.747375 0.764164 0.235836 0.0394533 0.130706
2.72445e-05 0.219913 0.780087 0.737795 0.262205 0.0387855 0.135511
2.74793e-05 0.190302 0.809698 0.714185 0.285815 0.0301168 -0.254536
2.77142e-05 0.180543 0.819457 0.701827 0.298173 -0.00312444 0.221315
2.7949e-05 0.158817 0.841183 0.661827 0.338173 0.0202357 0.0412014
