Noise Level,Time,abs_alpha_bruit,abs_beta_bruit,abs_alpha_corrige,abs_beta_corrige
0.01,1.97287e-05,0.819604,0.180396,0.76301,0.23699
0.01,1.99636e-05,0.844801,0.155199,0.794868,0.205132
0.01,2.01985e-05,0.867756,0.132244,0.818799,0.181201
0.01,2.04333e-05,0.891415,0.108585,0.844927,0.155073
0.01,2.06682e-05,0.902837,0.0971626,0.854895,0.145105
0.01,2.09031e-05,0.92094,0.0790604,0.884896,0.115104
0.01,2.11379e-05,0.935719,0.064281,0.902173,0.0978272
0.01,2.13728e-05,0.953622,0.0463776,0.925696,0.0743043
0.01,2.16077e-05,0.965174,0.0348261,0.936621,0.0633794
0.01,2.18425e-05,0.975774,0.0242256,0.952024,0.0479755
0.01,2.20774e-05,0.985327,0.0146728,0.96608,0.0339197
0.01,2.23123e-05,0.991173,0.0088266,0.974606,0.0253939
0.01,2.25471e-05,0.996148,0.003852,0.985121,0.0148786
0.01,2.2782e-05,0.997835,0.00216548,0.98981,0.0101897
0.01,2.30169e-05,0.997932,0.00206837,0.995745,0.00425522
0.01,2.32517e-05,0.996329,0.00367056,0.998977,0.00102346
0.01,2.34866e-05,0.993484,0.00651593,0.99997,2.99301e-05
0.01,2.37215e-05,0.985146,0.0148545,0.99747,0.00252952
0.01,2.39563e-05,0.981357,0.0186434,0.997171,0.00282926
0.01,2.41912e-05,0.968384,0.0316157,0.987703,0.0122973
0.01,2.44261e-05,0.961718,0.0382825,0.985981,0.0140188
0.01,2.46609e-05,0.954292,0.0457083,0.9776,0.0223996
0.01,2.48958e-05,0.94334,0.0566598,0.965099,0.034901
0.01,2.51307e-05,0.925899,0.0741008,0.948036,0.0519642
0.01,2.53655e-05,0.901155,0.0988447,0.928906,0.0710941
0.01,2.56004e-05,0.88858,0.11142,0.924915,0.0750852
0.01,2.58353e-05,0.865746,0.134254,0.89903,0.10097
0.01,2.60701e-05,0.83623,0.16377,0.87494,0.12506
0.01,2.6305e-05,0.813167,0.186833,0.861125,0.138875
0.01,2.65399e-05,0.77918,0.22082,0.829984,0.170016
0.01,2.67747e-05,0.750426,0.249574,0.812394,0.187606
0.01,2.70096e-05,0.720634,0.279366,0.787387,0.212613
0.01,2.72445e-05,0.693463,0.306537,0.764617,0.235383
0.01,2.74793e-05,0.64477,0.35523,0.718037,0.281963
0.01,2.77142e-05,0.616261,0.383739,0.709786,0.290214
