Time abs_alpha_bruit abs_beta_bruit abs_alpha_corrige abs_beta_corrige bruit_alpha bruit_beta
2.39189e-08 0.30524 0.69476 0.255629 0.744371 0.013935 -0.0403386
2.42759e-08 0.321528 0.678472 0.281294 0.718706 0.0187025 -0.115128
2.46329e-08 0.397074 0.602926 0.366809 0.633191 -0.107423 0.379987
2.49899e-08 0.414999 0.585001 0.333783 0.666217 0.0242515 -0.160442
2.53469e-08 0.505211 0.494789 0.436125 0.563875 -0.123734 -0.0560561
2.57039e-08 0.531531 0.468469 0.404033 0.595967 0.00336895 0.0997964
2.60609e-08 0.555341 0.444659 0.430791 0.569209 0.0107467 0.141623
2.64179e-08 0.647268 0.352732 0.530542 0.469458 -0.126924 0.0744513
2.67749e-08 0.68787 0.31213 0.50969 0.49031 -0.0242251 0.193265
2.71319e-08 0.70044 0.29956 0.510958 0.489042 0.0354667 -0.183272
2.74889e-08 0.728789 0.271211 0.560246 0.439754 -0.000727296 0.0121599
2.78459e-08 0.683229 0.316771 0.510275 0.489725 0.162202 -0.104818
2.82029e-08 0.724361 0.275639 0.635617 0.364383 -0.029378 0.0389431
2.85599e-08 0.800689 0.199311 0.706325 0.293675 -0.118665 -0.258857
2.89169e-08 0.813295 0.186705 0.669674 0.330326 0.0232167 -0.0104492
2.92739e-08 0.799419 0.200581 0.668145 0.331855 0.0891681 0.00611238
2.96309e-08 0.845401 0.154599 0.765902 0.234098 -0.067171 0.158788
2.99879e-08 0.906181 0.093819 0.816021 0.183979 -0.128318 0.0653612
3.03449e-08 0.911736 0.0882638 0.773792 0.226208 0.0388111 -0.165268
3.07019e-08 0.938896 0.0611038 0.83435 0.16565 -0.0518135 0.0567527
3.10589e-08 0.962727 0.0372732 0.859453 0.140547 -0.0592631 0.0549132
3.14159e-08 0.966871 0.0331291 0.850681 0.149319 0.0282067 -0.15139
3.17729e-08 0.997842 0.00215816 0.945776 0.0542243 -0.234028 0.146121
3.21299e-08 0.992771 0.00722944 0.867908 0.132092 0.101844 0.0612223
3.24869e-08 0.989425 0.0105751 0.909977 0.090023 0.0286899 0.107708
3.28439e-08 0.983847 0.0161526 0.926482 0.0735183 0.0289766 0.133447
3.32009e-08 0.990405 0.00959473 0.965672 0.0343279 -0.0847517 -0.112233
3.35579e-08 0.995877 0.00412255 0.979332 0.0206677 -0.110682 0.198159
3.39149e-08 0.996933 0.00306667 0.980521 0.0194785 -0.063242 0.207574
3.42719e-08 0.997856 0.00214399 0.988675 0.0113252 -0.0673397 -0.31552
3.46289e-08 0.995833 0.00416747 0.990638 0.00936226 -0.0254674 -0.123591
3.49859e-08 0.988201 0.0117987 0.991322 0.0086782 0.025518 -0.0359192
3.53429e-08 0.979416 0.0205839 0.996699 0.0033006 0.0073723 -0.0293596
3.56999e-08 0.943152 0.056848 0.99105 0.00895035 0.130738 -0.11684
3.60569e-08 0.89737 0.10263 0.995609 0.00439144 0.108573 -0.0687423
3.64139e-08 0.841972 0.158028 0.995708 0.00429189 0.103872 0.137073
3.67709e-08 0.871126 0.128874 0.995663 0.00433726 -0.146006 -0.111316
3.71279e-08 0.846123 0.153877 0.97477 0.0252304 0.00980321 -0.0882778
3.74849e-08 0.810837 0.189163 0.966491 0.0335089 0.032647 0.164495
3.78419e-08 0.819919 0.180081 0.97927 0.0207296 -0.0861126 0.0838021
3.81989e-08 0.798362 0.201638 0.958235 0.0417653 -0.00794772 0.119274
3.85559e-08 0.80137 0.19863 0.960216 0.0397842 -0.0697774 0.0360127
3.89129e-08 0.770401 0.229599 0.928752 0.0712484 0.0135545 -0.00471257
3.92699e-08 0.662298 0.337702 0.861803 0.138197 0.178712 0.00948608
3.96269e-08 0.638699 0.361301 0.904402 0.0955982 -0.0125404 -0.032022
3.99839e-08 0.652621 0.347379 0.912333 0.0876672 -0.0914535 0.237538
4.03409e-08 0.638955 0.361045 0.876855 0.123145 -0.0302882 0.184354
4.06979e-08 0.64573 0.35427 0.868705 0.131295 -0.0682159 -0.185267
4.10549e-08 0.563138 0.436862 0.77977 0.22023 0.109945 0.133419
4.14119e-08 0.4758 0.5242 0.752214 0.247786 0.119044 0.196303
