Time theta phi abs_alpha2 abs_beta2
3.81989e-08 0.301735 -2.15828 0.977411 0.0225889
3.85559e-08 0.276307 -1.5796 0.981035 0.0189652
3.89129e-08 0.205389 -0.886587 0.989491 0.0105091
3.92699e-08 0.14608 -0.411491 0.994675 0.00532536
3.96269e-08 0.295697 -0.0606128 0.9783 0.0217004
3.99839e-08 0.300721 0.410083 0.977562 0.0224385
4.03409e-08 0.39489 0.886823 0.961519 0.0384805
4.06979e-08 0.380085 1.27283 0.964316 0.0356835
4.10549e-08 0.307852 2.13809 0.976493 0.0235067
4.14119e-08 0.324158 2.70771 0.97396 0.0260404
4.17689e-08 0.352127 3.32984 0.969321 0.0306793
4.21259e-08 0.319817 -2.33852 0.974646 0.0253535
4.24829e-08 0.394264 -1.79529 0.96164 0.0383603
4.28399e-08 0.32909 -0.974088 0.973168 0.0268316
4.31969e-08 0.259904 -0.314174 0.983207 0.0167927
4.35539e-08 0.253924 0.148837 0.983967 0.0160329
4.39109e-08 0.294622 0.562838 0.978456 0.0215441
4.42679e-08 0.242055 0.900015 0.985424 0.0145762
4.46249e-08 0.232199 1.43017 0.986581 0.0134186
4.49819e-08 0.325563 2.36799 0.973735 0.0262647
4.53389e-08 0.28493 2.98558 0.979841 0.0201593
4.56959e-08 0.424177 -2.65373 0.955689 0.0443111
4.60529e-08 0.459664 -2.04744 0.948101 0.0518992
4.64099e-08 0.392901 -1.17967 0.961901 0.0380989
4.67669e-08 0.404703 -0.549721 0.95961 0.0403903
4.71239e-08 0.400015 0.0832007 0.960527 0.0394725
4.74809e-08 0.394564 1.02475 0.961582 0.0384179
4.78379e-08 0.318999 1.70864 0.974775 0.0252251
4.81949e-08 0.241631 2.65411 0.985475 0.0145255
4.85519e-08 0.272048 3.20485 0.981611 0.0183887
4.89089e-08 0.316315 -2.47491 0.975194 0.0248059
4.92659e-08 0.17676 -1.80205 0.992209 0.00779069
4.96229e-08 0.0915026 -1.31253 0.997908 0.00209172
4.99799e-08 0.117884 -0.598482 0.99653 0.00347014
5.03369e-08 0.0954695 0.0716918 0.997723 0.00227688
5.06939e-08 0.00838191 0.483781 0.999982 1.7564e-05
5.10509e-08 0.076614 1.15899 0.998533 0.00146671
5.14079e-08 -0.0382985 1.91442 0.999633 0.000366648
5.17649e-08 0.11259 -0.497165 0.996834 0.00316576
5.21219e-08 0.0964689 -0.0497698 0.997675 0.00232476
5.24789e-08 0.167827 0.630034 0.992975 0.00702498
5.28359e-08 0.113257 1.49271 0.996797 0.00320333
5.31929e-08 0.118728 2.12651 0.99648 0.00351994
5.35499e-08 0.171016 2.97617 0.992706 0.00729379
5.39069e-08 0.0903507 -2.71437 0.997961 0.00203942
5.42639e-08 0.0830316 -2.29037 0.998277 0.00172257
5.46209e-08 0.0312815 -1.82968 0.999755 0.000244613
5.49779e-08 0.00936969 -1.29415 0.999978 2.19476e-05
5.53349e-08 -0.0469447 -0.712822 0.999449 0.000550849
5.56919e-08 0.0459439 3.06224 0.999472 0.000527618
5.60489e-08 0.021619 -2.45605 0.999883 0.000116841
5.64059e-08 0.0764816 -1.9081 0.998538 0.00146165
5.67629e-08 0.0827902 -1.40472 0.998287 0.00171258
5.71199e-08 0.155359 -0.95292 0.993978 0.00602197
5.74769e-08 0.0802427 -0.307782 0.998391 0.00160886
5.78339e-08 0.154726 0.0809029 0.994027 0.0059731
5.81909e-08 0.137731 0.79194 0.995265 0.00473498
5.85479e-08 0.262754 1.26845 0.982839 0.0171608
5.89049e-08 0.288758 1.8343 0.979299 0.0207009
5.92619e-08 0.136306 2.21218 0.995362 0.00463761
5.96189e-08 0.010062 2.77867 0.999975 2.53109e-05
5.99759e-08 -0.0666169 3.3768 0.998891 0.00110904
6.03329e-08 0.0452655 0.752109 0.999488 0.000512154
6.06899e-08 0.156446 1.18263 0.993894 0.00610635
6.10469e-08 0.170008 1.92918 0.992792 0.00720831
6.14039e-08 0.141404 2.63233 0.99501 0.00499045
6.17609e-08 0.130597 3.24926 0.995742 0.00425785
6.21179e-08 0.252602 -2.6172 0.984133 0.0158673
6.24749e-08 0.129827 -1.94103 0.995792 0.00420782
6.28319e-08 0.106207 -1.18584 0.997183 0.00281735
6.31889e-08 0.127586 -0.566104 0.995936 0.00406401
6.35459e-08 0.175843 0.188119 0.99229 0.00771027
6.39029e-08 0.139686 0.595574 0.99513 0.00487013
6.42598e-08 0.129377 1.18082 0.995821 0.00417879
6.46168e-08 0.297654 1.92309 0.978014 0.0219864
6.49738e-08 0.36068 2.67348 0.967829 0.0321714
6.53308e-08 0.315804 2.91208 0.975273 0.0247266
6.56878e-08 0.318955 -2.57268 0.974782 0.0252183
6.60448e-08 0.270925 -2.07439 0.981762 0.0182381
6.64018e-08 0.238923 -1.41593 0.985797 0.0142033
6.67588e-08 0.173382 -0.58251 0.992504 0.0074965
6.71158e-08 0.173627 0.0773507 0.992482 0.00751767
6.74728e-08 0.0784429 0.703367 0.998462 0.00153753
6.78298e-08 0.0118989 1.26773 0.999965 3.53957e-05
6.81868e-08 -0.0344034 2.02313 0.999704 0.000295869
6.85438e-08 -0.00838164 -0.662871 0.999982 1.75629e-05
6.89008e-08 0.018988 3.1008 0.99991 9.01338e-05
6.92578e-08 -0.0249899 -2.71856 0.999844 0.000156116
6.96148e-08 -0.0326393 1.15053 0.999734 0.000266307
6.99718e-08 -0.0661346 -1.27079 0.998907 0.00109305
7.03288e-08 0.214728 2.48889 0.988517 0.0114828
7.06858e-08 0.227382 3.02202 0.98713 0.01287
7.10428e-08 0.33462 -2.41648 0.972268 0.0277325
7.13998e-08 0.290711 -1.78459 0.97902 0.0209799
7.17568e-08 0.214265 -1.16593 0.988566 0.0114335
7.21138e-08 0.182454 -0.762895 0.991701 0.00829931
7.24708e-08 0.242395 0.0893269 0.985383 0.0146171
7.28278e-08 0.23873 0.433956 0.98582 0.0141805
7.31848e-08 0.332946 1.05548 0.972542 0.0274581
7.35418e-08 0.265209 1.57161 0.982519 0.0174811
7.38988e-08 0.373305 2.30978 0.965564 0.0344364
7.42558e-08 0.411974 3.00749 0.958166 0.0418338
7.46128e-08 0.418861 -2.65256 0.956776 0.0432235
7.49698e-08 0.426388 -1.9412 0.955233 0.0447673
7.53268e-08 0.471194 -1.01119 0.945514 0.0544865
7.56838e-08 0.460956 -0.191937 0.947814 0.0521861
7.60408e-08 0.431734 0.215001 0.954121 0.0458792
7.63978e-08 0.463738 0.982234 0.947193 0.0528066
7.67548e-08 0.442651 1.55001 0.95181 0.0481903
7.71118e-08 0.447755 2.27986 0.950711 0.0492894
7.74688e-08 0.53455 2.97373 0.930249 0.069751
7.78258e-08 0.604042 -2.74375 0.911523 0.0884766
7.81828e-08 0.714863 -2.07415 0.877591 0.122409
7.85398e-08 0.715332 -1.51664 0.877438 0.122562
7.88968e-08 0.704745 -0.867093 0.880888 0.119112
7.92538e-08 0.694337 -0.416663 0.884239 0.115761
7.96108e-08 0.749837 0.150858 0.8659 0.1341
7.99678e-08 0.813539 0.457745 0.843466 0.156534
8.03248e-08 0.895402 1.07985 0.812603 0.187397
8.06818e-08 0.958601 1.55977 0.787333 0.212667
8.10388e-08 1.05424 2.159 0.746946 0.253054
8.13958e-08 0.962456 2.74421 0.785753 0.214247
8.17528e-08 1.01748 3.13318 0.762757 0.237243
8.21098e-08 0.937294 -2.5105 0.795985 0.204015
8.24668e-08 0.956703 -1.52877 0.788109 0.211891
8.28238e-08 0.98995 -0.996206 0.774366 0.225634
8.31808e-08 0.9677 -0.542253 0.783597 0.216403
8.35378e-08 1.11855 0.31592 0.718496 0.281504
8.38948e-08 1.11115 0.753982 0.721814 0.278186
8.42518e-08 0.970076 1.5442 0.782618 0.217382
8.46088e-08 0.938718 2.23551 0.795411 0.204589
8.49658e-08 0.928888 2.8798 0.799363 0.200637
8.53228e-08 1.01211 -2.82898 0.765038 0.234962
8.56798e-08 0.951037 -2.03352 0.79042 0.20958
8.60368e-08 0.942913 -1.41794 0.793716 0.206284
8.63938e-08 1.05942 -0.923297 0.744691 0.255309
8.67508e-08 1.1424 -0.38783 0.707705 0.292295
8.71078e-08 1.16184 -0.0532486 0.698828 0.301172
8.74648e-08 1.17868 0.56832 0.691073 0.308927
8.78218e-08 1.19474 1.02141 0.683626 0.316374
8.81788e-08 1.24752 1.37012 0.658836 0.341164
8.85358e-08 1.27174 1.94712 0.647307 0.352693
8.88928e-08 1.1587 2.84438 0.700267 0.299733
8.92498e-08 1.27072 -2.87423 0.647797 0.352203
