Time alpha beta abs_alpha2 abs_beta2
0 (1,0) (-0,0) 1 0
2.46329e-10 (0.953742,-0.210043) (0.0462578,-0.210043) 0.953742 0.0462578
2.49899e-10 (0.952414,-0.21289) (0.0475865,-0.21289) 0.952414 0.0475865
2.53469e-10 (0.951067,-0.215728) (0.048933,-0.215728) 0.951067 0.048933
2.57039e-10 (0.949703,-0.218558) (0.0502974,-0.218558) 0.949703 0.0502974
2.60609e-10 (0.948321,-0.221379) (0.0516795,-0.221379) 0.948321 0.0516795
2.64179e-10 (0.946921,-0.224192) (0.0530793,-0.224192) 0.946921 0.0530793
2.67749e-10 (0.945503,-0.226995) (0.0544967,-0.226995) 0.945503 0.0544967
2.71319e-10 (0.944068,-0.22979) (0.0559318,-0.22979) 0.944068 0.0559318
2.74889e-10 (0.942616,-0.232576) (0.0573843,-0.232576) 0.942616 0.0573843
2.78459e-10 (0.941146,-0.235352) (0.0588544,-0.235352) 0.941146 0.0588544
2.82029e-10 (0.939658,-0.238119) (0.0603418,-0.238119) 0.939658 0.0603418
2.85599e-10 (0.938153,-0.240877) (0.0618467,-0.240877) 0.938153 0.0618467
2.89169e-10 (0.936631,-0.243625) (0.0633688,-0.243625) 0.936631 0.0633688
2.92739e-10 (0.935092,-0.246364) (0.0649081,-0.246364) 0.935092 0.0649081
2.96309e-10 (0.933535,-0.249093) (0.0664646,-0.249093) 0.933535 0.0664646
2.99879e-10 (0.931962,-0.251812) (0.0680383,-0.251812) 0.931962 0.0680383
3.03449e-10 (0.930371,-0.254521) (0.069629,-0.254521) 0.930371 0.069629
3.07019e-10 (0.928763,-0.25722) (0.0712367,-0.25722) 0.928763 0.0712367
3.10589e-10 (0.927139,-0.259909) (0.0728613,-0.259909) 0.927139 0.0728613
3.14159e-10 (0.925497,-0.262587) (0.0745028,-0.262587) 0.925497 0.0745028
3.17729e-10 (0.923839,-0.265256) (0.076161,-0.265256) 0.923839 0.076161
3.21299e-10 (0.922164,-0.267913) (0.077836,-0.267913) 0.922164 0.077836
3.24869e-10 (0.920472,-0.270561) (0.0795277,-0.270561) 0.920472 0.0795277
3.28439e-10 (0.918764,-0.273197) (0.081236,-0.273197) 0.918764 0.081236
3.32009e-10 (0.917039,-0.275823) (0.0829608,-0.275823) 0.917039 0.0829608
3.35579e-10 (0.915298,-0.278438) (0.0847021,-0.278438) 0.915298 0.0847021
3.39149e-10 (0.91354,-0.281042) (0.0864597,-0.281042) 0.91354 0.0864597
3.42719e-10 (0.911766,-0.283634) (0.0882337,-0.283634) 0.911766 0.0882337
3.46289e-10 (0.909976,-0.286216) (0.0900239,-0.286216) 0.909976 0.0900239
3.49859e-10 (0.90817,-0.288786) (0.0918304,-0.288786) 0.90817 0.0918304
3.53429e-10 (0.906347,-0.291345) (0.0936529,-0.291345) 0.906347 0.0936529
3.56999e-10 (0.904508,-0.293893) (0.0954915,-0.293893) 0.904508 0.0954915
3.60569e-10 (0.902654,-0.296428) (0.0973461,-0.296428) 0.902654 0.0973461
3.64139e-10 (0.900783,-0.298952) (0.0992165,-0.298952) 0.900783 0.0992165
3.67709e-10 (0.898897,-0.301465) (0.101103,-0.301465) 0.898897 0.101103
3.71279e-10 (0.896995,-0.303965) (0.103005,-0.303965) 0.896995 0.103005
3.74849e-10 (0.895078,-0.306454) (0.104922,-0.306454) 0.895078 0.104922
3.78419e-10 (0.893144,-0.30893) (0.106856,-0.30893) 0.893144 0.106856
3.81989e-10 (0.891195,-0.311394) (0.108805,-0.311394) 0.891195 0.108805
3.85559e-10 (0.889231,-0.313846) (0.110769,-0.313846) 0.889231 0.110769
3.89129e-10 (0.887252,-0.316285) (0.112748,-0.316285) 0.887252 0.112748
3.92699e-10 (0.885257,-0.318712) (0.114743,-0.318712) 0.885257 0.114743
3.96269e-10 (0.883247,-0.321126) (0.116753,-0.321126) 0.883247 0.116753
3.99839e-10 (0.881221,-0.323528) (0.118779,-0.323528) 0.881221 0.118779
4.03409e-10 (0.879181,-0.325917) (0.120819,-0.325917) 0.879181 0.120819
4.06979e-10 (0.877126,-0.328293) (0.122874,-0.328293) 0.877126 0.122874
4.10549e-10 (0.875056,-0.330656) (0.124944,-0.330656) 0.875056 0.124944
4.14119e-10 (0.872971,-0.333006) (0.127029,-0.333006) 0.872971 0.127029
4.17689e-10 (0.870871,-0.335343) (0.129129,-0.335343) 0.870871 0.129129
4.21259e-10 (0.868757,-0.337666) (0.131243,-0.337666) 0.868757 0.131243
4.24829e-10 (0.866628,-0.339977) (0.133372,-0.339977) 0.866628 0.133372
4.28399e-10 (0.864484,-0.342274) (0.135516,-0.342274) 0.864484 0.135516
4.31969e-10 (0.862327,-0.344557) (0.137673,-0.344557) 0.862327 0.137673
4.35539e-10 (0.860155,-0.346827) (0.139845,-0.346827) 0.860155 0.139845
4.39109e-10 (0.857968,-0.349083) (0.142032,-0.349083) 0.857968 0.142032
4.42679e-10 (0.855768,-0.351325) (0.144232,-0.351325) 0.855768 0.144232
4.46249e-10 (0.853553,-0.353553) (0.146447,-0.353553) 0.853553 0.146447
4.49819e-10 (0.851325,-0.355768) (0.148675,-0.355768) 0.851325 0.148675
4.53389e-10 (0.849083,-0.357968) (0.150917,-0.357968) 0.849083 0.150917
4.56959e-10 (0.846827,-0.360155) (0.153173,-0.360155) 0.846827 0.153173
4.60529e-10 (0.844557,-0.362327) (0.155443,-0.362327) 0.844557 0.155443
4.64099e-10 (0.842274,-0.364484) (0.157726,-0.364484) 0.842274 0.157726
4.67669e-10 (0.839977,-0.366628) (0.160023,-0.366628) 0.839977 0.160023
4.71239e-10 (0.837666,-0.368757) (0.162334,-0.368757) 0.837666 0.162334
4.74809e-10 (0.835343,-0.370871) (0.164657,-0.370871) 0.835343 0.164657
4.78379e-10 (0.833006,-0.372971) (0.166994,-0.372971) 0.833006 0.166994
4.81949e-10 (0.830656,-0.375056) (0.169344,-0.375056) 0.830656 0.169344
4.85519e-10 (0.828293,-0.377126) (0.171707,-0.377126) 0.828293 0.171707
4.89089e-10 (0.825917,-0.379181) (0.174083,-0.379181) 0.825917 0.174083
4.92659e-10 (0.823528,-0.381221) (0.176472,-0.381221) 0.823528 0.176472
4.96229e-10 (0.821126,-0.383247) (0.178874,-0.383247) 0.821126 0.178874
4.99799e-10 (0.818712,-0.385257) (0.181288,-0.385257) 0.818712 0.181288
5.03369e-10 (0.816285,-0.387252) (0.183715,-0.387252) 0.816285 0.183715
5.06939e-10 (0.813846,-0.389231) (0.186154,-0.389231) 0.813846 0.186154
5.10509e-10 (0.811394,-0.391195) (0.188606,-0.391195) 0.811394 0.188606
5.14079e-10 (0.80893,-0.393144) (0.19107,-0.393144) 0.80893 0.19107
5.17649e-10 (0.806454,-0.395078) (0.193546,-0.395078) 0.806454 0.193546
5.21219e-10 (0.803965,-0.396995) (0.196035,-0.396995) 0.803965 0.196035
5.24789e-10 (0.801465,-0.398897) (0.198535,-0.398897) 0.801465 0.198535
5.28359e-10 (0.798952,-0.400783) (0.201048,-0.400783) 0.798952 0.201048
5.31929e-10 (0.796428,-0.402654) (0.203572,-0.402654) 0.796428 0.203572
5.35499e-10 (0.793893,-0.404508) (0.206107,-0.404508) 0.793893 0.206107
5.39069e-10 (0.791345,-0.406347) (0.208655,-0.406347) 0.791345 0.208655
5.42639e-10 (0.788786,-0.40817) (0.211214,-0.40817) 0.788786 0.211214
5.46209e-10 (0.786216,-0.409976) (0.213784,-0.409976) 0.786216 0.213784
5.49779e-10 (0.783634,-0.411766) (0.216366,-0.411766) 0.783634 0.216366
5.53349e-10 (0.781042,-0.41354) (0.218958,-0.41354) 0.781042 0.218958
5.56919e-10 (0.778438,-0.415298) (0.221562,-0.415298) 0.778438 0.221562
5.60489e-10 (0.775823,-0.417039) (0.224177,-0.417039) 0.775823 0.224177
5.64059e-10 (0.773197,-0.418764) (0.226803,-0.418764) 0.773197 0.226803
5.67629e-10 (0.770561,-0.420472) (0.229439,-0.420472) 0.770561 0.229439
5.71199e-10 (0.767913,-0.422164) (0.232087,-0.422164) 0.767913 0.232087
5.74769e-10 (0.765256,-0.423839) (0.234744,-0.423839) 0.765256 0.234744
5.78339e-10 (0.762587,-0.425497) (0.237413,-0.425497) 0.762587 0.237413
5.81909e-10 (0.759909,-0.427139) (0.240091,-0.427139) 0.759909 0.240091
5.85479e-10 (0.75722,-0.428763) (0.24278,-0.428763) 0.75722 0.24278
5.89049e-10 (0.754521,-0.430371) (0.245479,-0.430371) 0.754521 0.245479
5.92619e-10 (0.751812,-0.431962) (0.248188,-0.431962) 0.751812 0.248188
5.96189e-10 (0.749093,-0.433535) (0.250907,-0.433535) 0.749093 0.250907
5.99759e-10 (0.746364,-0.435092) (0.253636,-0.435092) 0.746364 0.253636
6.03329e-10 (0.743625,-0.436631) (0.256375,-0.436631) 0.743625 0.256375
6.06899e-10 (0.740877,-0.438153) (0.259123,-0.438153) 0.740877 0.259123
6.10469e-10 (0.738119,-0.439658) (0.261881,-0.439658) 0.738119 0.261881
6.14039e-10 (0.735352,-0.441146) (0.264648,-0.441146) 0.735352 0.264648
6.17609e-10 (0.732576,-0.442616) (0.267424,-0.442616) 0.732576 0.267424
6.21179e-10 (0.72979,-0.444068) (0.27021,-0.444068) 0.72979 0.27021
6.24749e-10 (0.726995,-0.445503) (0.273005,-0.445503) 0.726995 0.273005
6.28319e-10 (0.724192,-0.446921) (0.275808,-0.446921) 0.724192 0.275808
6.31889e-10 (0.721379,-0.448321) (0.278621,-0.448321) 0.721379 0.278621
6.35459e-10 (0.718558,-0.449703) (0.281442,-0.449703) 0.718558 0.281442
6.39029e-10 (0.715728,-0.451067) (0.284272,-0.451067) 0.715728 0.284272
6.42598e-10 (0.71289,-0.452414) (0.28711,-0.452414) 0.71289 0.28711
6.46168e-10 (0.710043,-0.453742) (0.289957,-0.453742) 0.710043 0.289957
6.49738e-10 (0.707188,-0.455053) (0.292812,-0.455053) 0.707188 0.292812
6.53308e-10 (0.704325,-0.456346) (0.295675,-0.456346) 0.704325 0.295675
6.56878e-10 (0.701453,-0.457621) (0.298547,-0.457621) 0.701453 0.298547
6.60448e-10 (0.698574,-0.458877) (0.301426,-0.458877) 0.698574 0.301426
6.64018e-10 (0.695687,-0.460116) (0.304313,-0.460116) 0.695687 0.304313
6.67588e-10 (0.692792,-0.461336) (0.307208,-0.461336) 0.692792 0.307208
6.71158e-10 (0.68989,-0.462539) (0.31011,-0.462539) 0.68989 0.31011
6.74728e-10 (0.68698,-0.463723) (0.31302,-0.463723) 0.68698 0.31302
6.78298e-10 (0.684062,-0.464888) (0.315938,-0.464888) 0.684062 0.315938
6.81868e-10 (0.681138,-0.466036) (0.318862,-0.466036) 0.681138 0.318862
6.85438e-10 (0.678206,-0.467164) (0.321794,-0.467164) 0.678206 0.321794
6.89008e-10 (0.675267,-0.468275) (0.324733,-0.468275) 0.675267 0.324733
6.92578e-10 (0.672321,-0.469367) (0.327679,-0.469367) 0.672321 0.327679
6.96148e-10 (0.669369,-0.47044) (0.330631,-0.47044) 0.669369 0.330631
6.99718e-10 (0.66641,-0.471495) (0.33359,-0.471495) 0.66641 0.33359
7.03288e-10 (0.663444,-0.472532) (0.336556,-0.472532) 0.663444 0.336556
7.06858e-10 (0.660472,-0.473549) (0.339528,-0.473549) 0.660472 0.339528
7.10428e-10 (0.657493,-0.474548) (0.342507,-0.474548) 0.657493 0.342507
7.13998e-10 (0.654508,-0.475528) (0.345492,-0.475528) 0.654508 0.345492
7.17568e-10 (0.651518,-0.47649) (0.348482,-0.47649) 0.651518 0.348482
7.21138e-10 (0.648521,-0.477432) (0.351479,-0.477432) 0.648521 0.351479
7.24708e-10 (0.645518,-0.478356) (0.354482,-0.478356) 0.645518 0.354482
7.28278e-10 (0.64251,-0.479261) (0.35749,-0.479261) 0.64251 0.35749
7.31848e-10 (0.639496,-0.480147) (0.360504,-0.480147) 0.639496 0.360504
7.35418e-10 (0.636476,-0.481014) (0.363524,-0.481014) 0.636476 0.363524
7.38988e-10 (0.633451,-0.481862) (0.366549,-0.481862) 0.633451 0.366549
7.42558e-10 (0.630421,-0.482691) (0.369579,-0.482691) 0.630421 0.369579
7.46128e-10 (0.627385,-0.483501) (0.372615,-0.483501) 0.627385 0.372615
7.49698e-10 (0.624345,-0.484292) (0.375655,-0.484292) 0.624345 0.375655
7.53268e-10 (0.6213,-0.485063) (0.3787,-0.485063) 0.6213 0.3787
7.56838e-10 (0.618249,-0.485816) (0.381751,-0.485816) 0.618249 0.381751
7.60408e-10 (0.615195,-0.486549) (0.384805,-0.486549) 0.615195 0.384805
