Time alpha beta abs_alpha2 abs_beta2
0 (1,0) (-0,0) 1 0
1.13526e-09 (0.292812,-0.455053) (0.707188,-0.455053) 0.292812 0.707188
1.13883e-09 (0.289957,-0.453742) (0.710043,-0.453742) 0.289957 0.710043
1.1424e-09 (0.28711,-0.452414) (0.71289,-0.452414) 0.28711 0.71289
1.14597e-09 (0.284272,-0.451067) (0.715728,-0.451067) 0.284272 0.715728
1.14954e-09 (0.281442,-0.449703) (0.718558,-0.449703) 0.281442 0.718558
1.15311e-09 (0.278621,-0.448321) (0.721379,-0.448321) 0.278621 0.721379
1.15668e-09 (0.275808,-0.446921) (0.724192,-0.446921) 0.275808 0.724192
1.16025e-09 (0.273005,-0.445503) (0.726995,-0.445503) 0.273005 0.726995
1.16382e-09 (0.27021,-0.444068) (0.72979,-0.444068) 0.27021 0.72979
1.16739e-09 (0.267424,-0.442616) (0.732576,-0.442616) 0.267424 0.732576
1.17096e-09 (0.264648,-0.441146) (0.735352,-0.441146) 0.264648 0.735352
1.17453e-09 (0.261881,-0.439658) (0.738119,-0.439658) 0.261881 0.738119
1.1781e-09 (0.259123,-0.438153) (0.740877,-0.438153) 0.259123 0.740877
1.18167e-09 (0.256375,-0.436631) (0.743625,-0.436631) 0.256375 0.743625
1.18524e-09 (0.253636,-0.435092) (0.746364,-0.435092) 0.253636 0.746364
1.18881e-09 (0.250907,-0.433535) (0.749093,-0.433535) 0.250907 0.749093
1.19238e-09 (0.248188,-0.431962) (0.751812,-0.431962) 0.248188 0.751812
1.19595e-09 (0.245479,-0.430371) (0.754521,-0.430371) 0.245479 0.754521
1.19952e-09 (0.24278,-0.428763) (0.75722,-0.428763) 0.24278 0.75722
1.20309e-09 (0.240091,-0.427139) (0.759909,-0.427139) 0.240091 0.759909
1.20666e-09 (0.237413,-0.425497) (0.762587,-0.425497) 0.237413 0.762587
1.21023e-09 (0.234744,-0.423839) (0.765256,-0.423839) 0.234744 0.765256
1.2138e-09 (0.232087,-0.422164) (0.767913,-0.422164) 0.232087 0.767913
1.21737e-09 (0.229439,-0.420472) (0.770561,-0.420472) 0.229439 0.770561
1.22094e-09 (0.226803,-0.418764) (0.773197,-0.418764) 0.226803 0.773197
1.22451e-09 (0.224177,-0.417039) (0.775823,-0.417039) 0.224177 0.775823
1.22808e-09 (0.221562,-0.415298) (0.778438,-0.415298) 0.221562 0.778438
1.23165e-09 (0.218958,-0.41354) (0.781042,-0.41354) 0.218958 0.781042
1.23522e-09 (0.216366,-0.411766) (0.783634,-0.411766) 0.216366 0.783634
1.23879e-09 (0.213784,-0.409976) (0.786216,-0.409976) 0.213784 0.786216
1.24236e-09 (0.211214,-0.40817) (0.788786,-0.40817) 0.211214 0.788786
1.24593e-09 (0.208655,-0.406347) (0.791345,-0.406347) 0.208655 0.791345
1.2495e-09 (0.206107,-0.404508) (0.793893,-0.404508) 0.206107 0.793893
1.25307e-09 (0.203572,-0.402654) (0.796428,-0.402654) 0.203572 0.796428
1.25664e-09 (0.201048,-0.400783) (0.798952,-0.400783) 0.201048 0.798952
1.26021e-09 (0.198535,-0.398897) (0.801465,-0.398897) 0.198535 0.801465
1.26378e-09 (0.196035,-0.396995) (0.803965,-0.396995) 0.196035 0.803965
1.26735e-09 (0.193546,-0.395078) (0.806454,-0.395078) 0.193546 0.806454
1.27092e-09 (0.19107,-0.393144) (0.80893,-0.393144) 0.19107 0.80893
1.27449e-09 (0.188606,-0.391195) (0.811394,-0.391195) 0.188606 0.811394
1.27806e-09 (0.186154,-0.389231) (0.813846,-0.389231) 0.186154 0.813846
1.28163e-09 (0.183715,-0.387252) (0.816285,-0.387252) 0.183715 0.816285
1.2852e-09 (0.181288,-0.385257) (0.818712,-0.385257) 0.181288 0.818712
1.28877e-09 (0.178874,-0.383247) (0.821126,-0.383247) 0.178874 0.821126
1.29234e-09 (0.176472,-0.381221) (0.823528,-0.381221) 0.176472 0.823528
1.29591e-09 (0.174083,-0.379181) (0.825917,-0.379181) 0.174083 0.825917
1.29948e-09 (0.171707,-0.377126) (0.828293,-0.377126) 0.171707 0.828293
1.30305e-09 (0.169344,-0.375056) (0.830656,-0.375056) 0.169344 0.830656
1.30662e-09 (0.166994,-0.372971) (0.833006,-0.372971) 0.166994 0.833006
1.31019e-09 (0.164657,-0.370871) (0.835343,-0.370871) 0.164657 0.835343
1.31376e-09 (0.162334,-0.368757) (0.837666,-0.368757) 0.162334 0.837666
1.31733e-09 (0.160023,-0.366628) (0.839977,-0.366628) 0.160023 0.839977
1.3209e-09 (0.157726,-0.364484) (0.842274,-0.364484) 0.157726 0.842274
1.32447e-09 (0.155443,-0.362327) (0.844557,-0.362327) 0.155443 0.844557
1.32804e-09 (0.153173,-0.360155) (0.846827,-0.360155) 0.153173 0.846827
1.33161e-09 (0.150917,-0.357968) (0.849083,-0.357968) 0.150917 0.849083
1.33518e-09 (0.148675,-0.355768) (0.851325,-0.355768) 0.148675 0.851325
1.33875e-09 (0.146447,-0.353553) (0.853553,-0.353553) 0.146447 0.853553
1.34232e-09 (0.144232,-0.351325) (0.855768,-0.351325) 0.144232 0.855768
1.34589e-09 (0.142032,-0.349083) (0.857968,-0.349083) 0.142032 0.857968
1.34946e-09 (0.139845,-0.346827) (0.860155,-0.346827) 0.139845 0.860155
1.35303e-09 (0.137673,-0.344557) (0.862327,-0.344557) 0.137673 0.862327
1.3566e-09 (0.135516,-0.342274) (0.864484,-0.342274) 0.135516 0.864484
1.36017e-09 (0.133372,-0.339977) (0.866628,-0.339977) 0.133372 0.866628
1.36374e-09 (0.131243,-0.337666) (0.868757,-0.337666) 0.131243 0.868757
1.36731e-09 (0.129129,-0.335343) (0.870871,-0.335343) 0.129129 0.870871
1.37088e-09 (0.127029,-0.333006) (0.872971,-0.333006) 0.127029 0.872971
1.37445e-09 (0.124944,-0.330656) (0.875056,-0.330656) 0.124944 0.875056
1.37802e-09 (0.122874,-0.328293) (0.877126,-0.328293) 0.122874 0.877126
1.38159e-09 (0.120819,-0.325917) (0.879181,-0.325917) 0.120819 0.879181
1.38516e-09 (0.118779,-0.323528) (0.881221,-0.323528) 0.118779 0.881221
1.38873e-09 (0.116753,-0.321126) (0.883247,-0.321126) 0.116753 0.883247
1.3923e-09 (0.114743,-0.318712) (0.885257,-0.318712) 0.114743 0.885257
1.39587e-09 (0.112748,-0.316285) (0.887252,-0.316285) 0.112748 0.887252
1.39944e-09 (0.110769,-0.313846) (0.889231,-0.313846) 0.110769 0.889231
1.40301e-09 (0.108805,-0.311394) (0.891195,-0.311394) 0.108805 0.891195
1.40658e-09 (0.106856,-0.30893) (0.893144,-0.30893) 0.106856 0.893144
1.41015e-09 (0.104922,-0.306454) (0.895078,-0.306454) 0.104922 0.895078
1.41372e-09 (0.103005,-0.303965) (0.896995,-0.303965) 0.103005 0.896995
1.41729e-09 (0.101103,-0.301465) (0.898897,-0.301465) 0.101103 0.898897
1.42086e-09 (0.0992165,-0.298952) (0.900783,-0.298952) 0.0992165 0.900783
1.42443e-09 (0.0973461,-0.296428) (0.902654,-0.296428) 0.0973461 0.902654
1.428e-09 (0.0954915,-0.293893) (0.904508,-0.293893) 0.0954915 0.904508
1.43157e-09 (0.0936529,-0.291345) (0.906347,-0.291345) 0.0936529 0.906347
1.43514e-09 (0.0918304,-0.288786) (0.90817,-0.288786) 0.0918304 0.90817
1.43871e-09 (0.0900239,-0.286216) (0.909976,-0.286216) 0.0900239 0.909976
1.44228e-09 (0.0882337,-0.283634) (0.911766,-0.283634) 0.0882337 0.911766
1.44585e-09 (0.0864597,-0.281042) (0.91354,-0.281042) 0.0864597 0.91354
1.44942e-09 (0.0847021,-0.278438) (0.915298,-0.278438) 0.0847021 0.915298
1.45299e-09 (0.0829608,-0.275823) (0.917039,-0.275823) 0.0829608 0.917039
1.45656e-09 (0.081236,-0.273197) (0.918764,-0.273197) 0.081236 0.918764
1.46013e-09 (0.0795277,-0.270561) (0.920472,-0.270561) 0.0795277 0.920472
1.4637e-09 (0.077836,-0.267913) (0.922164,-0.267913) 0.077836 0.922164
1.46727e-09 (0.076161,-0.265256) (0.923839,-0.265256) 0.076161 0.923839
1.47084e-09 (0.0745028,-0.262587) (0.925497,-0.262587) 0.0745028 0.925497
1.47441e-09 (0.0728613,-0.259909) (0.927139,-0.259909) 0.0728613 0.927139
1.47798e-09 (0.0712367,-0.25722) (0.928763,-0.25722) 0.0712367 0.928763
1.48155e-09 (0.069629,-0.254521) (0.930371,-0.254521) 0.069629 0.930371
1.48512e-09 (0.0680383,-0.251812) (0.931962,-0.251812) 0.0680383 0.931962
1.48869e-09 (0.0664646,-0.249093) (0.933535,-0.249093) 0.0664646 0.933535
1.49226e-09 (0.0649081,-0.246364) (0.935092,-0.246364) 0.0649081 0.935092
1.49583e-09 (0.0633688,-0.243625) (0.936631,-0.243625) 0.0633688 0.936631
1.4994e-09 (0.0618467,-0.240877) (0.938153,-0.240877) 0.0618467 0.938153
1.50297e-09 (0.0603418,-0.238119) (0.939658,-0.238119) 0.0603418 0.939658
1.50654e-09 (0.0588544,-0.235352) (0.941146,-0.235352) 0.0588544 0.941146
1.51011e-09 (0.0573843,-0.232576) (0.942616,-0.232576) 0.0573843 0.942616
1.51368e-09 (0.0559318,-0.22979) (0.944068,-0.22979) 0.0559318 0.944068
1.51725e-09 (0.0544967,-0.226995) (0.945503,-0.226995) 0.0544967 0.945503
1.52082e-09 (0.0530793,-0.224192) (0.946921,-0.224192) 0.0530793 0.946921
1.52439e-09 (0.0516795,-0.221379) (0.948321,-0.221379) 0.0516795 0.948321
1.52796e-09 (0.0502974,-0.218558) (0.949703,-0.218558) 0.0502974 0.949703
1.53153e-09 (0.048933,-0.215728) (0.951067,-0.215728) 0.048933 0.951067
1.5351e-09 (0.0475865,-0.21289) (0.952414,-0.21289) 0.0475865 0.952414
1.53867e-09 (0.0462578,-0.210043) (0.953742,-0.210043) 0.0462578 0.953742
1.54224e-09 (0.044947,-0.207188) (0.955053,-0.207188) 0.044947 0.955053
1.54581e-09 (0.0436542,-0.204325) (0.956346,-0.204325) 0.0436542 0.956346
1.54938e-09 (0.0423794,-0.201453) (0.957621,-0.201453) 0.0423794 0.957621
1.55295e-09 (0.0411227,-0.198574) (0.958877,-0.198574) 0.0411227 0.958877
1.55652e-09 (0.0398841,-0.195687) (0.960116,-0.195687) 0.0398841 0.960116
1.56009e-09 (0.0386636,-0.192792) (0.961336,-0.192792) 0.0386636 0.961336
1.56366e-09 (0.0374614,-0.18989) (0.962539,-0.18989) 0.0374614 0.962539
1.56723e-09 (0.0362774,-0.18698) (0.963723,-0.18698) 0.0362774 0.963723
1.5708e-09 (0.0351118,-0.184062) (0.964888,-0.184062) 0.0351118 0.964888
1.57437e-09 (0.0339644,-0.181138) (0.966036,-0.181138) 0.0339644 0.966036
1.57794e-09 (0.0328355,-0.178206) (0.967164,-0.178206) 0.0328355 0.967164
1.58151e-09 (0.0317251,-0.175267) (0.968275,-0.175267) 0.0317251 0.968275
1.58508e-09 (0.0306331,-0.172321) (0.969367,-0.172321) 0.0306331 0.969367
1.58865e-09 (0.0295596,-0.169369) (0.97044,-0.169369) 0.0295596 0.97044
1.59222e-09 (0.0285047,-0.16641) (0.971495,-0.16641) 0.0285047 0.971495
1.59579e-09 (0.0274685,-0.163444) (0.972532,-0.163444) 0.0274685 0.972532
1.59936e-09 (0.0264508,-0.160472) (0.973549,-0.160472) 0.0264508 0.973549
1.60293e-09 (0.0254519,-0.157493) (0.974548,-0.157493) 0.0254519 0.974548
1.6065e-09 (0.0244717,-0.154508) (0.975528,-0.154508) 0.0244717 0.975528
1.61007e-09 (0.0235103,-0.151518) (0.97649,-0.151518) 0.0235103 0.97649
1.61364e-09 (0.0225677,-0.148521) (0.977432,-0.148521) 0.0225677 0.977432
1.61721e-09 (0.021644,-0.145518) (0.978356,-0.145518) 0.021644 0.978356
1.62078e-09 (0.0207391,-0.14251) (0.979261,-0.14251) 0.0207391 0.979261
1.62435e-09 (0.0198532,-0.139496) (0.980147,-0.139496) 0.0198532 0.980147
1.62792e-09 (0.0189862,-0.136476) (0.981014,-0.136476) 0.0189862 0.981014
1.63149e-09 (0.0181382,-0.133451) (0.981862,-0.133451) 0.0181382 0.981862
1.63506e-09 (0.0173092,-0.130421) (0.982691,-0.130421) 0.0173092 0.982691
1.63863e-09 (0.0164993,-0.127385) (0.983501,-0.127385) 0.0164993 0.983501
1.6422e-09 (0.0157084,-0.124345) (0.984292,-0.124345) 0.0157084 0.984292
1.64577e-09 (0.0149367,-0.1213) (0.985063,-0.1213) 0.0149367 0.985063
1.64934e-09 (0.0141841,-0.118249) (0.985816,-0.118249) 0.0141841 0.985816
1.65291e-09 (0.0134507,-0.115195) (0.986549,-0.115195) 0.0134507 0.986549
1.65648e-09 (0.0127366,-0.112135) (0.987263,-0.112135) 0.0127366 0.987263
1.66005e-09 (0.0120416,-0.109072) (0.987958,-0.109072) 0.0120416 0.987958
1.66362e-09 (0.0113659,-0.106004) (0.988634,-0.106004) 0.0113659 0.988634
1.66719e-09 (0.0107095,-0.102931) (0.98929,-0.102931) 0.0107095 0.98929
1.67076e-09 (0.0100725,-0.099855) (0.989928,-0.099855) 0.0100725 0.989928
1.67433e-09 (0.00945474,-0.0967747) (0.990545,-0.0967747) 0.00945474 0.990545
1.6779e-09 (0.00885637,-0.0936907) (0.991144,-0.0936907) 0.00885637 0.991144
1.68147e-09 (0.0082774,-0.0906029) (0.991723,-0.0906029) 0.0082774 0.991723
1.68504e-09 (0.00771783,-0.0875115) (0.992282,-0.0875115) 0.00771783 0.992282
1.68861e-09 (0.0071777,-0.0844167) (0.992822,-0.0844167) 0.0071777 0.992822
1.69218e-09 (0.00665703,-0.0813186) (0.993343,-0.0813186) 0.00665703 0.993343
1.69575e-09 (0.00615583,-0.0782172) (0.993844,-0.0782172) 0.00615583 0.993844
1.69932e-09 (0.00567413,-0.0751128) (0.994326,-0.0751128) 0.00567413 0.994326
1.70289e-09 (0.00521194,-0.0720054) (0.994788,-0.0720054) 0.00521194 0.994788
1.70646e-09 (0.00476929,-0.0688951) (0.995231,-0.0688951) 0.00476929 0.995231
1.71003e-09 (0.00434618,-0.0657822) (0.995654,-0.0657822) 0.00434618 0.995654
1.7136e-09 (0.00394265,-0.0626666) (0.996057,-0.0626666) 0.00394265 0.996057
1.71717e-09 (0.0035587,-0.0595486) (0.996441,-0.0595486) 0.0035587 0.996441
1.72074e-09 (0.00319434,-0.0564282) (0.996806,-0.0564282) 0.00319434 0.996806
1.72431e-09 (0.0028496,-0.0533056) (0.99715,-0.0533056) 0.0028496 0.99715
1.72788e-09 (0.00252449,-0.0501809) (0.997476,-0.0501809) 0.00252449 0.997476
1.73145e-09 (0.00221902,-0.0470542) (0.997781,-0.0470542) 0.00221902 0.997781
1.73502e-09 (0.0019332,-0.0439256) (0.998067,-0.0439256) 0.0019332 0.998067
1.73859e-09 (0.00166704,-0.0407953) (0.998333,-0.0407953) 0.00166704 0.998333
1.74216e-09 (0.00142055,-0.0376634) (0.998579,-0.0376634) 0.00142055 0.998579
1.74573e-09 (0.00119375,-0.03453) (0.998806,-0.03453) 0.00119375 0.998806
1.7493e-09 (0.000986636,-0.0313953) (0.999013,-0.0313953) 0.000986636 0.999013
1.75287e-09 (0.000799225,-0.0282593) (0.999201,-0.0282593) 0.000799225 0.999201
1.75644e-09 (0.000631522,-0.0251222) (0.999368,-0.0251222) 0.000631522 0.999368
1.76001e-09 (0.000483533,-0.0219841) (0.999516,-0.0219841) 0.000483533 0.999516
1.76358e-09 (0.000355264,-0.0188451) (0.999645,-0.0188451) 0.000355264 0.999645
1.76715e-09 (0.00024672,-0.0157054) (0.999753,-0.0157054) 0.00024672 0.999753
1.77072e-09 (0.000157905,-0.012565) (0.999842,-0.012565) 0.000157905 0.999842
1.77429e-09 (8.88238e-05,-0.00942422) (0.999911,-0.00942422) 8.88238e-05 0.999911
1.77786e-09 (3.94779e-05,-0.00628302) (0.999961,-0.00628302) 3.94779e-05 0.999961
1.78143e-09 (9.86956e-06,-0.00314157) (0.99999,-0.00314157) 9.86957e-06 0.99999
1.785e-09 (-8.65069e-12,-7.6503e-12) (1,3.58611e-15) 1.33362e-22 1
1.78857e-09 (9.86956e-06,0.00314157) (0.99999,0.00314157) 9.86957e-06 0.99999
1.79214e-09 (3.94779e-05,0.00628302) (0.999961,0.00628302) 3.94779e-05 0.999961
1.79571e-09 (8.88238e-05,0.00942422) (0.999911,0.00942422) 8.88238e-05 0.999911
1.79928e-09 (0.000157905,0.012565) (0.999842,0.012565) 0.000157905 0.999842
1.80285e-09 (0.00024672,0.0157054) (0.999753,0.0157054) 0.00024672 0.999753
1.80642e-09 (0.000355264,0.0188451) (0.999645,0.0188451) 0.000355264 0.999645
1.80999e-09 (0.000483533,0.0219841) (0.999516,0.0219841) 0.000483533 0.999516
1.81356e-09 (0.000631522,0.0251222) (0.999368,0.0251222) 0.000631522 0.999368
1.81713e-09 (0.000799225,0.0282593) (0.999201,0.0282593) 0.000799225 0.999201
1.8207e-09 (0.000986636,0.0313953) (0.999013,0.0313953) 0.000986636 0.999013
1.82427e-09 (0.00119375,0.03453) (0.998806,0.03453) 0.00119375 0.998806
1.82784e-09 (0.00142055,0.0376634) (0.998579,0.0376634) 0.00142055 0.998579
1.83141e-09 (0.00166704,0.0407953) (0.998333,0.0407953) 0.00166704 0.998333
1.83498e-09 (0.0019332,0.0439256) (0.998067,0.0439256) 0.0019332 0.998067
1.83855e-09 (0.00221902,0.0470542) (0.997781,0.0470542) 0.00221902 0.997781
1.84212e-09 (0.00252449,0.0501809) (0.997476,0.0501809) 0.00252449 0.997476
1.84569e-09 (0.0028496,0.0533056) (0.99715,0.0533056) 0.0028496 0.99715
1.84926e-09 (0.00319434,0.0564282) (0.996806,0.0564282) 0.00319434 0.996806
1.85283e-09 (0.0035587,0.0595486) (0.996441,0.0595486) 0.0035587 0.996441
1.8564e-09 (0.00394265,0.0626666) (0.996057,0.0626666) 0.00394265 0.996057
1.85997e-09 (0.00434618,0.0657822) (0.995654,0.0657822) 0.00434618 0.995654
1.86354e-09 (0.00476929,0.0688951) (0.995231,0.0688951) 0.00476929 0.995231
1.86711e-09 (0.00521194,0.0720054) (0.994788,0.0720054) 0.00521194 0.994788
1.87068e-09 (0.00567413,0.0751128) (0.994326,0.0751128) 0.00567413 0.994326
1.87425e-09 (0.00615583,0.0782172) (0.993844,0.0782172) 0.00615583 0.993844
1.87782e-09 (0.00665703,0.0813186) (0.993343,0.0813186) 0.00665703 0.993343
1.88139e-09 (0.0071777,0.0844167) (0.992822,0.0844167) 0.0071777 0.992822
1.88496e-09 (0.00771783,0.0875115) (0.992282,0.0875115) 0.00771783 0.992282
1.88853e-09 (0.0082774,0.0906029) (0.991723,0.0906029) 0.0082774 0.991723
1.8921e-09 (0.00885637,0.0936907) (0.991144,0.0936907) 0.00885637 0.991144
1.89567e-09 (0.00945474,0.0967747) (0.990545,0.0967747) 0.00945474 0.990545
1.89924e-09 (0.0100725,0.099855) (0.989928,0.099855) 0.0100725 0.989928
1.90281e-09 (0.0107095,0.102931) (0.98929,0.102931) 0.0107095 0.98929
1.90638e-09 (0.0113659,0.106004) (0.988634,0.106004) 0.0113659 0.988634
1.90995e-09 (0.0120416,0.109072) (0.987958,0.109072) 0.0120416 0.987958
1.91352e-09 (0.0127366,0.112135) (0.987263,0.112135) 0.0127366 0.987263
1.91709e-09 (0.0134507,0.115195) (0.986549,0.115195) 0.0134507 0.986549
1.92066e-09 (0.0141841,0.118249) (0.985816,0.118249) 0.0141841 0.985816
1.92423e-09 (0.0149367,0.1213) (0.985063,0.1213) 0.0149367 0.985063
1.9278e-09 (0.0157084,0.124345) (0.984292,0.124345) 0.0157084 0.984292
1.93137e-09 (0.0164993,0.127385) (0.983501,0.127385) 0.0164993 0.983501
1.93494e-09 (0.0173092,0.130421) (0.982691,0.130421) 0.0173092 0.982691
1.93851e-09 (0.0181382,0.133451) (0.981862,0.133451) 0.0181382 0.981862
1.94208e-09 (0.0189862,0.136476) (0.981014,0.136476) 0.0189862 0.981014
1.94565e-09 (0.0198532,0.139496) (0.980147,0.139496) 0.0198532 0.980147
1.94922e-09 (0.0207391,0.14251) (0.979261,0.14251) 0.0207391 0.979261
1.95279e-09 (0.021644,0.145518) (0.978356,0.145518) 0.021644 0.978356
1.95636e-09 (0.0225677,0.148521) (0.977432,0.148521) 0.0225677 0.977432
1.95993e-09 (0.0235103,0.151518) (0.97649,0.151518) 0.0235103 0.97649
1.9635e-09 (0.0244717,0.154508) (0.975528,0.154508) 0.0244717 0.975528
1.96707e-09 (0.0254519,0.157493) (0.974548,0.157493) 0.0254519 0.974548
1.97064e-09 (0.0264508,0.160472) (0.973549,0.160472) 0.0264508 0.973549
1.97421e-09 (0.0274685,0.163444) (0.972532,0.163444) 0.0274685 0.972532
1.97778e-09 (0.0285047,0.16641) (0.971495,0.16641) 0.0285047 0.971495
1.98135e-09 (0.0295596,0.169369) (0.97044,0.169369) 0.0295596 0.97044
1.98492e-09 (0.0306331,0.172321) (0.969367,0.172321) 0.0306331 0.969367
1.98849e-09 (0.0317251,0.175267) (0.968275,0.175267) 0.0317251 0.968275
1.99206e-09 (0.0328355,0.178206) (0.967164,0.178206) 0.0328355 0.967164
1.99563e-09 (0.0339644,0.181138) (0.966036,0.181138) 0.0339644 0.966036
1.9992e-09 (0.0351118,0.184062) (0.964888,0.184062) 0.0351118 0.964888
2.00277e-09 (0.0362774,0.18698) (0.963723,0.18698) 0.0362774 0.963723
2.00634e-09 (0.0374614,0.18989) (0.962539,0.18989) 0.0374614 0.962539
2.00991e-09 (0.0386636,0.192792) (0.961336,0.192792) 0.0386636 0.961336
2.01348e-09 (0.0398841,0.195687) (0.960116,0.195687) 0.0398841 0.960116
2.01705e-09 (0.0411227,0.198574) (0.958877,0.198574) 0.0411227 0.958877
2.02062e-09 (0.0423794,0.201453) (0.957621,0.201453) 0.0423794 0.957621
2.02419e-09 (0.0436542,0.204325) (0.956346,0.204325) 0.0436542 0.956346
2.02776e-09 (0.044947,0.207188) (0.955053,0.207188) 0.044947 0.955053
2.03133e-09 (0.0462578,0.210043) (0.953742,0.210043) 0.0462578 0.953742
2.0349e-09 (0.0475865,0.21289) (0.952414,0.21289) 0.0475865 0.952414
2.03847e-09 (0.048933,0.215728) (0.951067,0.215728) 0.048933 0.951067
2.04204e-09 (0.0502974,0.218558) (0.949703,0.218558) 0.0502974 0.949703
2.04561e-09 (0.0516795,0.221379) (0.948321,0.221379) 0.0516795 0.948321
2.04918e-09 (0.0530793,0.224192) (0.946921,0.224192) 0.0530793 0.946921
2.05275e-09 (0.0544967,0.226995) (0.945503,0.226995) 0.0544967 0.945503
2.05632e-09 (0.0559318,0.22979) (0.944068,0.22979) 0.0559318 0.944068
2.05989e-09 (0.0573843,0.232576) (0.942616,0.232576) 0.0573843 0.942616
2.06346e-09 (0.0588544,0.235352) (0.941146,0.235352) 0.0588544 0.941146
2.06703e-09 (0.0603418,0.238119) (0.939658,0.238119) 0.0603418 0.939658
2.0706e-09 (0.0618467,0.240877) (0.938153,0.240877) 0.0618467 0.938153
2.07417e-09 (0.0633688,0.243625) (0.936631,0.243625) 0.0633688 0.936631
2.07774e-09 (0.0649081,0.246364) (0.935092,0.246364) 0.0649081 0.935092
2.08131e-09 (0.0664646,0.249093) (0.933535,0.249093) 0.0664646 0.933535
2.08488e-09 (0.0680383,0.251812) (0.931962,0.251812) 0.0680383 0.931962
2.08845e-09 (0.069629,0.254521) (0.930371,0.254521) 0.069629 0.930371
2.09202e-09 (0.0712367,0.25722) (0.928763,0.25722) 0.0712367 0.928763
2.09559e-09 (0.0728613,0.259909) (0.927139,0.259909) 0.0728613 0.927139
2.09916e-09 (0.0745028,0.262587) (0.925497,0.262587) 0.0745028 0.925497
2.10273e-09 (0.076161,0.265256) (0.923839,0.265256) 0.076161 0.923839
2.1063e-09 (0.077836,0.267913) (0.922164,0.267913) 0.077836 0.922164
2.10987e-09 (0.0795277,0.270561) (0.920472,0.270561) 0.0795277 0.920472
2.11344e-09 (0.081236,0.273197) (0.918764,0.273197) 0.081236 0.918764
2.11701e-09 (0.0829608,0.275823) (0.917039,0.275823) 0.0829608 0.917039
2.12058e-09 (0.0847021,0.278438) (0.915298,0.278438) 0.0847021 0.915298
2.12415e-09 (0.0864597,0.281042) (0.91354,0.281042) 0.0864597 0.91354
2.12772e-09 (0.0882337,0.283634) (0.911766,0.283634) 0.0882337 0.911766
2.13129e-09 (0.0900239,0.286216) (0.909976,0.286216) 0.0900239 0.909976
2.13486e-09 (0.0918304,0.288786) (0.90817,0.288786) 0.0918304 0.90817
2.13842e-09 (0.0936529,0.291345) (0.906347,0.291345) 0.0936529 0.906347
2.14199e-09 (0.0954915,0.293893) (0.904508,0.293893) 0.0954915 0.904508
2.14556e-09 (0.0973461,0.296428) (0.902654,0.296428) 0.0973461 0.902654
2.14913e-09 (0.0992165,0.298952) (0.900783,0.298952) 0.0992165 0.900783
2.1527e-09 (0.101103,0.301465) (0.898897,0.301465) 0.101103 0.898897
2.15627e-09 (0.103005,0.303965) (0.896995,0.303965) 0.103005 0.896995
2.15984e-09 (0.104922,0.306454) (0.895078,0.306454) 0.104922 0.895078
2.16341e-09 (0.106856,0.30893) (0.893144,0.30893) 0.106856 0.893144
2.16698e-09 (0.108805,0.311394) (0.891195,0.311394) 0.108805 0.891195
2.17055e-09 (0.110769,0.313846) (0.889231,0.313846) 0.110769 0.889231
2.17412e-09 (0.112748,0.316285) (0.887252,0.316285) 0.112748 0.887252
2.17769e-09 (0.114743,0.318712) (0.885257,0.318712) 0.114743 0.885257
2.18126e-09 (0.116753,0.321126) (0.883247,0.321126) 0.116753 0.883247
2.18483e-09 (0.118779,0.323528) (0.881221,0.323528) 0.118779 0.881221
2.1884e-09 (0.120819,0.325917) (0.879181,0.325917) 0.120819 0.879181
2.19197e-09 (0.122874,0.328293) (0.877126,0.328293) 0.122874 0.877126
2.19554e-09 (0.124944,0.330656) (0.875056,0.330656) 0.124944 0.875056
2.19911e-09 (0.127029,0.333006) (0.872971,0.333006) 0.127029 0.872971
2.20268e-09 (0.129129,0.335343) (0.870871,0.335343) 0.129129 0.870871
2.20625e-09 (0.131243,0.337666) (0.868757,0.337666) 0.131243 0.868757
2.20982e-09 (0.133372,0.339977) (0.866628,0.339977) 0.133372 0.866628
2.21339e-09 (0.135516,0.342274) (0.864484,0.342274) 0.135516 0.864484
2.21696e-09 (0.137673,0.344557) (0.862327,0.344557) 0.137673 0.862327
2.22053e-09 (0.139845,0.346827) (0.860155,0.346827) 0.139845 0.860155
2.2241e-09 (0.142032,0.349083) (0.857968,0.349083) 0.142032 0.857968
2.22767e-09 (0.144232,0.351325) (0.855768,0.351325) 0.144232 0.855768
2.23124e-09 (0.146447,0.353553) (0.853553,0.353553) 0.146447 0.853553
2.23481e-09 (0.148675,0.355768) (0.851325,0.355768) 0.148675 0.851325
2.23838e-09 (0.150917,0.357968) (0.849083,0.357968) 0.150917 0.849083
2.24195e-09 (0.153173,0.360155) (0.846827,0.360155) 0.153173 0.846827
2.24552e-09 (0.155443,0.362327) (0.844557,0.362327) 0.155443 0.844557
2.24909e-09 (0.157726,0.364484) (0.842274,0.364484) 0.157726 0.842274
2.25266e-09 (0.160023,0.366628) (0.839977,0.366628) 0.160023 0.839977
2.25623e-09 (0.162334,0.368757) (0.837666,0.368757) 0.162334 0.837666
2.2598e-09 (0.164657,0.370871) (0.835343,0.370871) 0.164657 0.835343
2.26337e-09 (0.166994,0.372971) (0.833006,0.372971) 0.166994 0.833006
2.26694e-09 (0.169344,0.375056) (0.830656,0.375056) 0.169344 0.830656
