Time theta phi abs_alpha2 abs_beta2
6.93051e-11 3.14159 -0.272306 3.44364e-23 1
7.00196e-11 3.14159 -0.373422 3.47918e-23 1
7.07341e-11 3.14159 -0.474024 3.51463e-23 1
7.14485e-11 3.14159 -0.57412 3.55026e-23 1
7.2163e-11 3.14159 -0.673717 3.58581e-23 1
7.28775e-11 3.14159 -0.772821 3.62126e-23 1
7.3592e-11 3.14159 -0.871442 3.65689e-23 1
7.43065e-11 3.14159 -0.969585 3.69243e-23 1
7.5021e-11 3.14159 -1.06726 3.72786e-23 1
7.57355e-11 3.14159 -1.16447 3.76347e-23 1
7.64499e-11 3.14159 -1.26122 3.79897e-23 1
7.71644e-11 3.14159 -1.35752 3.83436e-23 1
7.78789e-11 3.14159 -1.45338 3.86991e-23 1
7.85934e-11 3.14159 -1.5488 3.90536e-23 1
7.93079e-11 3.14159 -1.64379 3.94096e-23 1
8.00224e-11 3.14159 -1.73835 3.97645e-23 1
8.07369e-11 3.14159 -1.83249 4.01209e-23 1
8.14513e-11 3.14159 -1.92622 4.04761e-23 1
8.21658e-11 3.14159 -2.01953 4.083e-23 1
8.28803e-11 3.14159 -2.11244 4.11855e-23 1
8.35948e-11 3.14159 -2.20495 4.15397e-23 1
8.43093e-11 3.14159 -2.29707 4.18953e-23 1
8.50238e-11 3.14159 -2.3888 4.22496e-23 1
8.57383e-11 3.14159 -2.48015 4.26054e-23 1
8.64527e-11 3.14159 -2.57112 4.29598e-23 1
8.71672e-11 3.14159 -2.66171 4.33157e-23 1
8.78817e-11 3.14159 -2.75193 4.367e-23 1
8.85962e-11 3.14159 -2.84179 4.40259e-23 1
8.93107e-11 3.14159 -2.93128 4.43802e-23 1
9.00252e-11 3.14159 -3.02042 4.47359e-23 1
9.07397e-11 3.14159 -3.1092 4.509e-23 1
9.14541e-11 3.14159 -3.19764 4.54456e-23 1
9.21686e-11 3.14159 2.99745 4.57996e-23 1
9.28831e-11 3.14159 2.9097 4.61549e-23 1
9.35976e-11 3.14159 2.82228 4.65116e-23 1
9.43121e-11 3.14159 2.7352 4.68666e-23 1
9.50266e-11 3.14159 2.64844 4.7223e-23 1
9.57411e-11 3.14159 2.56202 4.75776e-23 1
9.64555e-11 3.14159 2.47591 4.79336e-23 1
9.717e-11 3.14159 2.39012 4.82879e-23 1
9.78845e-11 3.14159 2.30465 4.86434e-23 1
9.8599e-11 3.14159 2.21949 4.90002e-23 1
9.93135e-11 3.14159 2.13463 4.93553e-23 1
1.00028e-10 3.14159 2.05008 4.97116e-23 1
1.00742e-10 3.14159 1.96584 5.0066e-23 1
1.01457e-10 3.14159 1.88189 5.04217e-23 1
1.02171e-10 3.14159 1.79823 5.07755e-23 1
1.02886e-10 3.14159 1.71487 5.11306e-23 1
1.036e-10 3.14159 1.63179 5.14868e-23 1
1.04315e-10 3.14159 1.549 5.18411e-23 1
1.05029e-10 3.14159 1.4665 5.21967e-23 1
1.05744e-10 3.14159 1.38427 5.25534e-23 1
1.06458e-10 3.14159 1.30232 5.29081e-23 1
1.07173e-10 3.14159 1.22065 5.32641e-23 1
1.07887e-10 3.14159 1.13925 5.36179e-23 1
1.08602e-10 3.14159 1.05811 5.3973e-23 1
1.09316e-10 3.14159 0.977247 5.43292e-23 1
1.10031e-10 3.14159 0.896643 5.46833e-23 1
1.10745e-10 3.14159 0.8163 5.50385e-23 1
1.1146e-10 3.14159 0.736215 5.53949e-23 1
1.12174e-10 3.14159 0.656388 5.57491e-23 1
1.12889e-10 3.14159 0.576813 5.61045e-23 1
1.13603e-10 3.14159 0.49749 5.6461e-23 1
1.14318e-10 3.14159 0.418416 5.68152e-23 1
1.15032e-10 3.14159 0.339588 5.71706e-23 1
1.15747e-10 3.14159 0.261005 5.75271e-23 1
1.16461e-10 3.14159 0.182664 5.78813e-23 1
